timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,delta_terrain,eph,epv,terrain_alt,lat_lon_valid,alt_valid,lat_lon_reset_counter,alt_reset_counter,terrain_reset_counter,terrain_alt_valid,dead_reckoning
38108243,38107733,31.185531078704695,117.19753572658345,35.591217,33.39613,36.165585,36.165585,0.17581998,0.16860153,35.515312,1,1,1,3,3,0,0
38607125,38606708,31.185530807658793,117.19753567565328,35.545345,33.350266,36.165585,36.165585,0.17894633,0.17037046,35.477505,1,1,1,3,3,0,0
39106132,39105684,31.18553061416431,117.19753566566243,35.491142,33.296055,36.165585,36.165585,0.17500882,0.16792442,35.428078,1,1,1,3,3,0,0
39605090,39604660,31.185530390085106,117.19753558518383,35.43855,33.243458,36.165585,36.165585,0.17832801,0.1707628,35.381355,1,1,1,3,3,0,0
40104121,40103636,31.18553028152192,117.19753555237106,35.39375,33.19866,36.165585,36.165585,0.17458369,0.16906482,35.33666,1,1,1,3,3,0,0
40603200,40602612,31.185530196946228,117.19753545099935,35.350586,33.155502,36.165585,36.165585,0.17805548,0.17258088,35.294563,1,1,1,3,3,0,0
41102064,41101589,31.18553017486717,117.19753535041235,35.31745,33.12237,36.165585,36.165585,0.17422171,0.17057277,35.25812,1,1,1,3,3,0,0
41601193,41600566,31.18553020715406,117.19753536404536,35.285496,33.09042,36.165585,36.165585,0.17771454,0.17427658,35.2271,1,1,1,3,3,0,0
42100056,42099543,31.185530245912496,117.19753547296918,35.26728,33.0722,36.165585,36.165585,0.1740079,0.17202914,35.20226,1,1,1,3,3,0,0
42598927,42598521,31.185530283872172,117.19753567939766,35.244423,33.049347,36.165585,36.165585,0.17749572,0.175568,35.17377,1,1,1,3,3,0,0
43097969,43097499,31.1855301866413,117.19753581976711,35.295795,33.100723,36.165585,36.165585,0.1739819,0.17301886,35.15973,1,1,1,3,3,0,0
43606883,43606456,31.185530199077625,117.1975362831822,35.264668,33.0696,36.165585,36.165585,0.17806931,0.17610334,35.156002,1,1,1,3,3,0,0
44106253,44105435,31.18553103502963,117.19753760448921,35.2322,33.037132,36.165585,36.165585,0.17419231,0.17215107,35.130447,1,1,1,3,3,0,0
44604823,44604413,31.185531869664963,117.19753901020597,35.220314,33.02525,36.165585,36.165585,0.17741625,0.17329285,35.118,1,1,1,3,3,0,0
45104056,45103392,31.18553200304334,117.19754016402445,35.155983,32.960922,36.165585,36.165585,0.1737705,0.16888201,35.08181,1,1,1,3,3,0,0
45602814,45602371,31.185531598833,117.19754022298358,35.15469,32.95962,36.165585,36.165585,0.17706014,0.16925855,35.031902,1,1,1,3,3,0,0
46101765,46101350,31.185531398621045,117.19754014786132,35.11885,32.923775,36.165585,36.165585,0.17333841,0.16496715,35.01825,1,1,1,3,3,0,0
46600781,46600330,31.185531265563377,117.19754021510532,35.08583,32.890762,36.165585,36.165585,0.17675492,0.16515248,34.999454,1,1,1,3,3,0,0
47099950,47099310,31.18553119809892,117.19754006115444,35.078342,32.883274,36.165585,36.165585,0.17320512,0.1614842,34.983116,1,1,1,3,3,0,0
47598713,47598289,31.18553116864511,117.19754030863983,35.0619,32.866837,36.165585,36.165585,0.17649956,0.16266806,34.977024,1,1,1,3,3,0,0
48107690,48107249,31.185531391823996,117.19753969632093,35.086323,32.891262,36.165585,36.165585,0.17361754,0.16045295,34.973198,1,1,1,3,3,0,0
48606701,48606230,31.185531634890673,117.19753911345187,35.1116,32.916542,36.165585,36.165585,0.17702307,0.1623547,35.007793,1,1,1,3,3,0,0
49105612,49105210,31.185532127487452,117.19753823186282,35.120796,32.92574,36.165585,36.165585,0.1735519,0.16059352,35.016293,1,1,1,3,3,0,0
49604655,49604191,31.185533226385136,117.19753673425795,35.12795,32.932896,36.165585,36.165585,0.17700073,0.16302548,35.044308,1,1,1,3,3,0,0
50103576,50103172,31.18553570381411,117.19753660892161,35.12437,32.92932,36.165585,36.165585,0.17355053,0.16139977,35.024033,1,1,1,3,3,0,0
50602620,50602153,31.185538673205677,117.19753760024435,35.10675,32.9117,36.165585,36.165585,0.17725296,0.1644922,34.9849,1,1,1,3,3,0,0
51101539,51101135,31.185537521762704,117.1975372954461,35.123356,32.92831,36.165585,36.165585,0.17362551,0.16269062,34.9568,1,1,1,3,3,0,0
