timestamp,normalized_setpoint
21122987,0.0
22123352,0.0
23121282,0.0
24121703,0.0
25122132,0.0
26122566,0.0
27120503,0.0
28120931,0.0
29123868,0.0
30119306,0.0
31122238,0.0
32122689,0.0
33123113,0.0
34121062,0.0
35121506,0.0
36121943,0.0
37119895,0.0
38120335,0.0
39123290,0.0
40123793,0.0
41121681,0.0
42122126,0.0
43122576,0.0
44120547,0.0
45121000,0.0
46121443,0.0
47124393,0.0
48119856,0.0
49122805,0.0
50123268,0.0
51121245,0.0
52121689,0.0
53122141,0.0
54122603,0.0
55120560,0.0
56121030,0.0
57123980,0.0
58119456,0.0
59122543,0.0
60122859,0.0
61120826,0.0
62121267,0.0
63121732,0.0
64122181,0.0
65120139,0.0
66120593,0.0
67123543,0.0
68123991,0.0
69121944,0.0
70122397,0.0
71122850,0.0
72120806,0.0
73121252,0.0
74121707,0.0
75124648,0.0
76120104,0.0
77123058,0.0
78123669,0.0
79121483,0.0
80121898,0.0
81122339,0.0
82122789,0.0
83120743,0.0
84121182,0.0
85124158,0.0
86119576,0.0
87122523,0.0
88122959,0.0
89123403,0.0
90121355,0.0
91121843,0.0
92122243,0.0
93120187,0.0
94120631,0.0
95123560,0.0
96124013,0.0
97122080,0.0
98122456,0.0
99122834,0.0
100120778,0.0
101121216,0.0
102121658,0.0
103124592,0.0
104120037,0.0
105122984,0.0
106123406,0.0
107121356,0.0
108121787,0.0
109122224,0.0
110122662,0.0
111120619,0.0
112121038,0.0
113123969,0.0
114119410,0.0
115122367,0.0
116122811,0.0
117123206,0.0
118121191,0.0
119121578,0.0
120122018,0.0
121119949,0.0
122120392,0.0
123123312,0.0
124121249,0.0
125121678,0.0
126122107,0.0
127122538,0.0
128120480,0.0
129120905,0.0
130121335,0.0
131124262,0.0
132122195,0.0
133122633,0.0
134123105,0.0
135120987,0.0
136121422,0.0
137121877,0.0
138124779,0.0
139120212,0.0
140123132,0.0
141123554,0.0
142121487,0.0
143121915,0.0
144122336,0.0
145120264,0.0
146120700,0.0
147121117,0.0
148124034,0.0
149119474,0.0
150122385,0.0
151122986,0.0
152123262,0.0
153121160,0.0
154121580,0.0
155122007,0.0
156119935,0.0
157120355,0.0
158123269,0.0
159121191,0.0
160121613,0.0
161122037,0.0
162122456,0.0
163120393,0.0
164120806,0.0
165123729,0.0
166124166,0.0
167122070,0.0
168122498,0.0
169123047,0.0
170120854,0.0
171121253,0.0
172121686,0.0
173124598,0.0
174120036,0.0
175122943,0.0
176123376,0.0
