timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
20893953,20703661,0.7562701,0.096552335,0.75930226,0.75930226,0.75930226,0.75930226,0.75930226,0.011900898,0.011900898,0.011900898,0.011900898,0.011900898,0.06281352,0.06281352,0.06281352,0.06281352,0.06281352,0.2,0.2,0.2,0.2,0.2,0
21891731,21701590,0.77733415,0.094997786,0.7802913,0.7802913,0.7802913,0.7802913,0.7802913,-0.018868737,-0.018868737,-0.018868737,-0.018868737,-0.018868737,0.015051863,0.015051863,0.015051863,0.015051863,0.015051863,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,0
22889673,22699521,0.79433733,0.09371303,0.795626,0.795626,0.795626,0.795626,0.795626,-0.007878127,-0.007878127,-0.007878127,-0.007878127,-0.007878127,0.015766703,0.015766703,0.015766703,0.015766703,0.015766703,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,0
23897754,23707432,0.69506645,0.09123369,0.69463426,0.69463426,0.69463426,0.69463426,0.69463426,-0.027814949,-0.027814949,-0.027814949,-0.027814949,-0.027814949,0.047881793,0.047881793,0.047881793,0.047881793,0.047881793,0.2,0.2,0.2,0.2,0.2,0
24895509,24705366,0.71838087,0.09049748,0.7222718,0.7222718,0.7222718,0.7222718,0.7222718,-0.020761488,-0.020761488,-0.020761488,-0.020761488,-0.020761488,0.057932287,0.057932287,0.057932287,0.057932287,0.057932287,0.2,0.2,0.2,0.2,0.2,0
25893363,25703300,0.69935477,0.08925333,0.70114887,0.70114887,0.70114887,0.70114887,0.70114887,-0.042690895,-0.042690895,-0.042690895,-0.042690895,-0.042690895,0.032016844,0.032016844,0.032016844,0.032016844,0.032016844,0.2,0.2,0.2,0.2,0.2,0
26891328,26701236,0.7198316,0.08837086,0.7210284,0.7210284,0.7210284,0.7210284,0.7210284,0.071095,0.071095,0.071095,0.071095,0.071095,-0.018770546,-0.018770546,-0.018770546,-0.018770546,-0.018770546,0.2,0.2,0.2,0.2,0.2,0
27899297,27709153,0.7032159,0.085904256,0.69797784,0.69797784,0.69797784,0.69797784,0.69797784,-0.048761185,-0.048761185,-0.048761185,-0.048761185,-0.048761185,-0.04572635,-0.04572635,-0.04572635,-0.04572635,-0.04572635,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,0
28897192,28707092,0.69485927,0.07995219,0.6959398,0.6959398,0.6959398,0.6959398,0.6959398,-0.085854895,-0.085854895,-0.085854895,-0.085854895,-0.085854895,-0.03167631,-0.03167631,-0.03167631,-0.03167631,-0.03167631,0.2,0.2,0.2,0.2,0.2,0
29895148,29705032,0.6992605,0.07656002,0.6972711,0.6972711,0.6972711,0.6972711,0.6972711,-0.0133023895,-0.0133023895,-0.0133023895,-0.0133023895,-0.0133023895,-0.04030449,-0.04030449,-0.04030449,-0.04030449,-0.04030449,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,0
30893038,30702973,0.70746934,0.074443676,0.7080381,0.7080381,0.7080381,0.7080381,0.7080381,-0.06253294,-0.06253294,-0.06253294,-0.06253294,-0.06253294,0.0057445723,0.0057445723,0.0057445723,0.0057445723,0.0057445723,0.20000002,0.20000002,0.20000002,0.20000002,0.20000002,0
31891257,31700915,0.67766005,0.07269989,0.6790072,0.6790072,0.6790072,0.6790072,0.6790072,-0.040119305,-0.040119305,-0.040119305,-0.040119305,-0.040119305,0.022217933,0.022217933,0.022217933,0.022217933,0.022217933,0.2,0.2,0.2,0.2,0.2,0
32889200,32698858,0.68764925,0.067349166,0.68634146,0.68634146,0.68634146,0.68634146,0.68634146,-0.012037932,-0.012037932,-0.012037932,-0.012037932,-0.012037932,-0.072219625,-0.072219625,-0.072219625,-0.072219625,-0.072219625,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
33896905,33706783,0.69681376,0.06404145,0.6981588,0.6981588,0.6981588,0.6981588,0.6981588,-0.054375824,-0.054375824,-0.054375824,-0.054375824,-0.054375824,-0.025894782,-0.025894782,-0.025894782,-0.025894782,-0.025894782,0.2,0.2,0.2,0.2,0.2,1
34894812,34704729,0.70848584,0.061650224,0.70845246,0.70845246,0.70845246,0.70845246,0.70845246,-0.018652277,-0.018652277,-0.018652277,-0.018652277,-0.018652277,-0.006246865,-0.006246865,-0.006246865,-0.006246865,-0.006246865,0.2,0.2,0.2,0.2,0.2,1
35892782,35702676,0.6718531,0.060688403,0.6652547,0.6652547,0.6652547,0.6652547,0.6652547,-0.021060724,-0.021060724,-0.021060724,-0.021060724,-0.021060724,-0.016118914,-0.016118914,-0.016118914,-0.016118914,-0.016118914,0.2,0.2,0.2,0.2,0.2,1
36890944,36700624,0.71485114,0.060286265,0.713078,0.713078,0.713078,0.713078,0.713078,0.0005837821,0.0005837821,0.0005837821,0.0005837821,0.0005837821,-0.03594101,-0.03594101,-0.03594101,-0.03594101,-0.03594101,0.2,0.2,0.2,0.2,0.2,1
37898615,37708553,0.7334086,0.05885864,0.7330058,0.7330058,0.7330058,0.7330058,0.7330058,-0.005129328,-0.005129328,-0.005129328,-0.005129328,-0.005129328,0.006410868,0.006410868,0.006410868,0.006410868,0.006410868,0.2,0.2,0.2,0.2,0.2,1
38896587,38706503,0.7363755,0.05649097,0.7358434,0.7358434,0.7358434,0.7358434,0.7358434,-0.04725393,-0.04725393,-0.04725393,-0.04725393,-0.04725393,-0.024564827,-0.024564827,-0.024564827,-0.024564827,-0.024564827,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
39894624,39704455,0.7368102,0.0546019,0.7367864,0.7367864,0.7367864,0.7367864,0.7367864,-0.013754246,-0.013754246,-0.013754246,-0.013754246,-0.013754246,0.00043583103,0.00043583103,0.00043583103,0.00043583103,0.00043583103,0.2,0.2,0.2,0.2,0.2,1
40892529,40702408,0.74672395,0.05322926,0.7466379,0.7466379,0.7466379,0.7466379,0.7466379,0.014601316,0.014601316,0.014601316,0.014601316,0.014601316,-0.021840151,-0.021840151,-0.021840151,-0.021840151,-0.021840151,0.2,0.2,0.2,0.2,0.2,1
41890510,41700361,0.7795013,0.05172543,0.7800503,0.7800503,0.7800503,0.7800503,0.7800503,-0.067123555,-0.067123555,-0.067123555,-0.067123555,-0.067123555,-0.0028541218,-0.0028541218,-0.0028541218,-0.0028541218,-0.0028541218,0.2,0.2,0.2,0.2,0.2,1
42898372,42708296,0.769701,0.049924757,0.76140803,0.76140803,0.76140803,0.76140803,0.76140803,-0.054728817,-0.054728817,-0.054728817,-0.054728817,-0.054728817,-0.041813347,-0.041813347,-0.041813347,-0.041813347,-0.041813347,0.2,0.2,0.2,0.2,0.2,1
43896551,43706252,0.73800695,0.046591215,0.7446419,0.7446419,0.7446419,0.7446419,0.7446419,-0.13546142,-0.13546142,-0.13546142,-0.13546142,-0.13546142,0.0024114996,0.0024114996,0.0024114996,0.0024114996,0.0024114996,0.2,0.2,0.2,0.2,0.2,1
44894309,44704209,0.6840131,0.04494231,0.68726784,0.68726784,0.68726784,0.68726784,0.68726784,-0.04045975,-0.04045975,-0.04045975,-0.04045975,-0.04045975,-0.036467686,-0.036467686,-0.036467686,-0.036467686,-0.036467686,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
45892313,45702167,0.6398909,0.041788805,0.6351814,0.6351814,0.6351814,0.6351814,0.6351814,-0.012818117,-0.012818117,-0.012818117,-0.012818117,-0.012818117,-0.07167746,-0.07167746,-0.07167746,-0.07167746,-0.07167746,0.2,0.2,0.2,0.2,0.2,1
46890469,46700126,0.60891044,0.041769136,0.6032807,0.6032807,0.6032807,0.6032807,0.6032807,-0.025769563,-0.025769563,-0.025769563,-0.025769563,-0.025769563,-0.0447762,-0.0447762,-0.0447762,-0.0447762,-0.0447762,0.2,0.2,0.2,0.2,0.2,1
47898134,47708065,0.6360508,0.04097055,0.631595,0.631595,0.631595,0.631595,0.631595,-0.0019210353,-0.0019210353,-0.0019210353,-0.0019210353,-0.0019210353,-0.2119041,-0.2119041,-0.2119041,-0.2119041,-0.2119041,0.20000002,0.20000002,0.20000002,0.20000002,0.20000002,1
48896139,48706026,0.73491555,0.039604593,0.75868,0.75868,0.75868,0.75868,0.75868,0.14531448,0.14531448,0.14531448,0.14531448,0.14531448,-0.15380597,-0.15380597,-0.15380597,-0.15380597,-0.15380597,0.2,0.2,0.2,0.2,0.2,1
49894071,49703987,0.78311425,0.035795435,0.80321676,0.80321676,0.80321676,0.80321676,0.80321676,0.09777805,0.09777805,0.09777805,0.09777805,0.09777805,0.020484805,0.020484805,0.020484805,0.020484805,0.020484805,0.20000002,0.20000002,0.20000002,0.20000002,0.20000002,1
50892040,50701950,0.65962183,0.022384534,0.6093899,0.6093899,0.6093899,0.6093899,0.6093899,-0.007245383,-0.007245383,-0.007245383,-0.007245383,-0.007245383,-0.87701035,-0.87701035,-0.87701035,-0.87701035,-0.87701035,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
51890245,51699912,0.62927043,0.010162405,0.6861572,0.6861572,0.6861572,0.6861572,0.6861572,-0.15620872,-0.15620872,-0.15620872,-0.15620872,-0.15620872,0.46927315,0.46927315,0.46927315,0.46927315,0.46927315,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
52897937,52707856,0.3008234,0.00048468358,0.2514519,0.2514519,0.2514519,0.2514519,0.2514519,0.93040025,0.93040025,0.93040025,0.93040025,0.93040025,-0.1083955,-0.1083955,-0.1083955,-0.1083955,-0.1083955,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
53895986,53705819,0.054758653,0.00055881776,0.036666386,0.036666386,0.036666386,0.036666386,0.036666386,0.074564934,0.074564934,0.074564934,0.074564934,0.074564934,-0.25923407,-0.25923407,-0.25923407,-0.25923407,-0.25923407,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
54893888,54703783,-0.2531552,0.000614713,-0.258054,-0.258054,-0.258054,-0.258054,-0.258054,-0.21713877,-0.21713877,-0.21713877,-0.21713877,-0.21713877,0.048288107,0.048288107,0.048288107,0.048288107,0.048288107,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
55891841,55701746,-0.43974772,0.0006577454,-0.43801174,-0.43801174,-0.43801174,-0.43801174,-0.43801174,-0.0998106,-0.0998106,-0.0998106,-0.0998106,-0.0998106,0.067717075,0.067717075,0.067717075,0.067717075,0.067717075,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
56899779,56709689,-0.24637824,0.0007282515,-0.19567089,-0.19567089,-0.19567089,-0.19567089,-0.19567089,0.26113272,0.26113272,0.26113272,0.26113272,0.26113272,-0.024217844,-0.024217844,-0.024217844,-0.024217844,-0.024217844,0.2,0.2,0.2,0.2,0.2,1
57897789,57707652,-0.005281048,0.00079555565,0.024139265,0.024139265,0.024139265,0.024139265,0.024139265,-0.022567272,-0.022567272,-0.022567272,-0.022567272,-0.022567272,0.031867504,0.031867504,0.031867504,0.031867504,0.031867504,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
58895738,58705615,0.29422894,0.0007912475,0.30033952,0.30033952,0.30033952,0.30033952,0.30033952,-0.07882309,-0.07882309,-0.07882309,-0.07882309,-0.07882309,0.18879968,0.18879968,0.18879968,0.18879968,0.18879968,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
59893716,59703577,0.7891625,0.00077032397,0.8184349,0.8184349,0.8184349,0.8184349,0.8184349,-0.28663063,-0.28663063,-0.28663063,-0.28663063,-0.28663063,0.13812375,0.13812375,0.13812375,0.13812375,0.13812375,0.2,0.2,0.2,0.2,0.2,1
60891916,60701538,1.3960538,0.000637873,1.463143,1.463143,1.463143,1.463143,1.463143,-0.41129398,-0.41129398,-0.41129398,-0.41129398,-0.41129398,0.47669506,0.47669506,0.47669506,0.47669506,0.47669506,0.19999999,0.19999999,0.19999999,0.19999999,0.19999999,1
61889646,61699500,1.9676107,0.00053301104,1.9767312,1.9767312,1.9767312,1.9767312,1.9767312,-0.19527382,-0.19527382,-0.19527382,-0.19527382,-0.19527382,0.34327984,0.34327984,0.34327984,0.34327984,0.34327984,0.20000002,0.20000002,0.20000002,0.20000002,0.20000002,1
62897547,62707440,2.294041,0.00055160554,2.372045,2.372045,2.372045,2.372045,2.372045,-0.07506561,-0.07506561,-0.07506561,-0.07506561,-0.07506561,0.07186031,0.07186031,0.07186031,0.07186031,0.07186031,0.2,0.2,0.2,0.2,0.2,1
