timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
20620515,20619955,44,nan,0,318,0,1575,1495,1094,1503,1927,1094,1927,1927,1094,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
21126876,21126317,44,nan,0,403,0,1575,1495,1094,1503,1927,1094,1927,1927,1094,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
21631131,21630322,44,nan,0,487,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
22117441,22116881,44,nan,0,569,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
22621766,22621207,44,nan,0,653,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
23125318,23124759,44,nan,0,738,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
23619734,23619175,44,nan,0,820,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
24125655,24125096,44,nan,0,905,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
24632279,24631711,45,nan,0,990,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
25136420,25135844,45,nan,0,1075,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
25620155,25619596,45,nan,0,1156,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
26131542,26130981,45,nan,0,1241,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
26623606,26623048,45,nan,0,1324,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
27129469,27128910,45,nan,0,1408,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
27636109,27635550,45,nan,0,1493,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
28122356,28121796,45,nan,0,1575,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
28629903,28629321,45,nan,0,1660,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
29132988,29132429,45,nan,0,1744,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
29627372,29626784,45,nan,0,1827,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
30133206,30132646,45,nan,0,1912,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
30635633,30634952,45,nan,0,1996,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
31121321,31120709,45,nan,0,2077,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
31622800,31622241,45,nan,0,2161,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
32124113,32123554,45,nan,0,2245,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
32623101,32622542,45,nan,0,2329,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
33129890,33129330,45,nan,0,2414,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
33631033,33630475,45,nan,0,2498,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
34135095,34134460,45,nan,0,2582,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
34613981,34613422,45,nan,0,2663,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
35125922,35125363,45,nan,0,2748,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
35631957,35631399,45,nan,0,2833,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
36133796,36133238,45,nan,0,2917,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
36632995,36632424,45,nan,0,3001,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
37113974,37113416,45,nan,0,3081,0,1575,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
37635472,37634855,45,nan,0,3169,0,1575,1758,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
38119975,38119416,45,nan,0,3250,0,1575,1499,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
38623364,38622805,45,nan,0,3334,0,1575,1927,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
39127744,39127185,45,nan,0,3419,0,1578,1733,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
39627089,39626530,45,nan,0,3503,0,1927,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
40130587,40130011,45,nan,0,3587,0,1508,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
40614543,40613985,45,nan,0,3668,0,1372,1497,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
41116125,41115566,45,nan,0,3752,0,1575,1122,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
41619600,41619041,45,nan,0,3837,0,1576,1496,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
42118600,42118012,45,nan,0,3920,0,1576,1497,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
42622765,42622204,45,nan,0,4005,0,1576,1496,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
43129646,43129087,45,nan,0,4090,0,1576,1496,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
43630541,43629966,45,nan,0,4174,0,1576,1496,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
44114490,44113931,45,nan,0,4255,0,1576,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
44626423,44625840,45,nan,0,4340,0,1575,1496,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
45132512,45131953,45,nan,0,4425,0,1575,1496,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
45619091,45618529,45,nan,0,4507,0,1576,1495,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
46120399,46119840,45,nan,0,4591,0,1576,1496,1094,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
46629471,46628896,45,nan,0,4676,0,1576,1496,1102,1500,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
47128348,47127770,45,nan,0,4760,0,1576,1496,1177,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
47632347,47631787,45,nan,0,4844,0,1575,1495,1250,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
48121511,48120800,45,nan,0,4926,0,1575,1495,1310,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
48630459,48629891,45,nan,0,5011,0,1575,1495,1359,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
49129254,49128686,45,nan,0,5095,0,1575,1495,1406,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
49631374,49630815,45,nan,0,5179,0,1575,1495,1428,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
50129807,50129248,45,nan,0,5263,0,1575,1495,1456,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
50631193,50630623,45,nan,0,5347,0,1575,1496,1487,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
51117910,51117260,45,nan,0,5428,0,1575,1495,1525,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
51622072,51621512,45,nan,0,5513,0,1575,1495,1556,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
52121004,52120445,45,nan,0,5596,0,1575,1495,1594,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
52622188,52621579,45,nan,0,5680,0,1575,1495,1639,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
53129274,53128711,45,nan,0,5765,0,1574,1495,1695,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
53615107,53614516,45,nan,0,5847,0,1575,1495,1745,1502,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
54114341,54113782,45,nan,0,5930,0,1575,1495,1758,1502,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
54633227,54632666,45,nan,0,6017,0,1574,1495,1775,1502,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
55117040,55116480,45,nan,0,6098,0,1574,1496,1776,1502,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
55618718,55618156,45,nan,0,6182,0,1377,1495,1776,1502,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
56122846,56122286,45,nan,0,6267,0,1310,1495,1776,1502,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
56628917,56628358,45,nan,0,6352,0,1327,1495,1776,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
57121246,57120666,45,nan,0,6434,0,1369,1495,1776,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
57624573,57624014,45,nan,0,6518,0,1320,1495,1785,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
58130881,58130321,45,nan,0,6603,0,1328,1495,1790,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
58617760,58617193,45,nan,0,6685,0,1328,1495,1795,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
59113939,59113363,45,nan,0,6768,0,1324,1495,1796,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
59617809,59617250,45,nan,0,6853,0,1315,1495,1798,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
60117138,60116579,45,nan,0,6936,0,1252,1495,1800,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
60618443,60617882,45,nan,0,7020,0,1277,1495,1800,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
61124859,61124269,45,nan,0,7105,0,1302,1495,1801,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
61632132,61631573,45,nan,0,7190,0,1375,1495,1801,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
62130663,62130075,45,nan,0,7274,0,1389,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
62611799,62611240,45,nan,0,7354,0,1536,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
63118573,63118015,45,nan,0,7439,0,1574,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
63624880,63624322,45,nan,0,7524,0,1378,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
64126726,64125993,45,nan,0,7608,0,1391,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
64632602,64632045,45,nan,0,7693,0,1270,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
65134701,65134141,45,nan,0,7777,0,1277,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
65623512,65622947,45,nan,0,7859,0,1357,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
66132421,66131861,45,nan,0,7944,0,1319,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
66621773,66621215,45,nan,0,8026,0,1360,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
67120369,67119809,45,nan,0,8110,0,1348,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
67636982,67636421,45,nan,0,8196,0,1262,1495,1802,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
68120510,68119951,45,nan,0,8277,0,1281,1494,1803,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
68619454,68618887,45,nan,0,8361,0,1317,1483,1809,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
69121108,69120542,45,nan,0,8445,0,1282,1433,1809,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
69632375,69631817,45,nan,0,8531,0,1312,1449,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
70116360,70115800,45,nan,0,8612,0,1555,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
70620401,70619819,45,nan,0,8696,0,1600,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
71126910,71126351,45,nan,0,8781,0,1435,1483,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
71631391,71630770,45,nan,0,8866,0,1394,1457,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
72115014,72114455,45,nan,0,8947,0,1214,1481,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
72619244,72618685,45,nan,0,9031,0,1194,1476,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
73122801,73122242,45,nan,0,9116,0,1204,1477,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
73624206,73623647,45,nan,0,9200,0,1208,1479,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
74126358,74125798,45,nan,0,9284,0,1213,1480,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
74624979,74624420,45,nan,0,9367,0,1237,1485,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
75126151,75125590,45,nan,0,9451,0,1271,1491,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
75620167,75619568,45,nan,0,9534,0,1441,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
76122168,76121599,45,nan,0,9618,0,1490,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
76630922,76630364,45,nan,0,9703,0,1574,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
77130158,77129599,45,nan,0,9787,0,1497,1493,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
77629350,77628790,45,nan,0,9871,0,1355,1445,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
78132791,78132225,45,nan,0,9955,0,1345,1457,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
78618976,78618417,45,nan,0,10036,0,1363,1477,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
79118298,79117721,45,nan,0,10120,0,1402,1491,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
79626881,79626322,45,nan,0,10205,0,1487,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
80128471,80127913,45,nan,0,10289,0,1568,1545,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
80629848,80629289,45,nan,0,10373,0,1508,1552,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
81136394,81135836,45,nan,0,10458,0,1519,1505,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
81632783,81632224,45,nan,0,10541,0,1340,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
82114417,82113858,45,nan,0,10622,0,1279,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
82618572,82618013,45,nan,0,10707,0,1233,1495,1809,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
83122459,83121867,45,nan,0,10791,0,1303,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
83626864,83626304,45,nan,0,10876,0,1393,1495,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
84130311,84129722,45,nan,0,10960,0,1439,1613,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
84631690,84631123,45,nan,0,11044,0,1526,1611,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
85115667,85115095,45,nan,0,11125,0,1490,1690,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
85619556,85618998,45,nan,0,11210,0,1512,1597,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
86121351,86120780,45,nan,0,11294,0,1405,1500,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
86627766,86627208,45,nan,0,11379,0,1373,1498,1810,1503,1927,1094,1927,1927,1510,1094,1094,1094,1094,1094,1510,1510,998,998,18,0,0,4,-1
