timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,confidence
21103033,21077497,-4.465986,-4.6118374,1.0
22130911,22110825,-4.3027406,-4.443284,1.0
23128828,23094197,-4.561129,-4.710108,1.0
24131750,24104203,-4.8353405,-4.993309,1.0
25104735,25077496,-4.8795447,-5.03893,1.0
26142585,26117497,-4.9233522,-5.0849724,1.0
27075655,27039618,-4.6234703,-4.775289,1.0
28118503,28080791,-4.8353405,-4.9940987,1.0
29091490,29062056,-5.0383096,-5.2028418,1.0
30144317,30097510,-4.8795447,-5.0389028,1.0
31102340,31070873,-4.672745,-4.825353,1.0
32090320,32044198,-4.167542,-4.3036456,1.0
33143132,33110906,-4.218749,-4.3564987,1.0
34116130,34084133,-4.0419993,-4.1740046,1.0
35129069,35097491,-4.1675425,-4.3036375,1.0
36131983,36110826,-4.745698,-4.900678,1.0
37090016,37057497,-4.8795447,-5.0389233,1.0
38102972,38077487,-4.8353405,-4.993216,1.0
39130913,39104199,-4.6543283,-4.806348,1.0
40088860,40053101,-4.8056455,-4.962501,1.0
41131719,41104220,-4.966773,-5.12897,1.0
42129676,42101880,-4.9233522,-5.0841603,1.0
43117655,43097500,-4.4979243,-4.6448307,1.0
44130573,44104202,-4.36877,-4.511499,1.0
45118579,45080783,-4.167542,-4.302968,1.0
46091565,46064330,-4.9233522,-5.084138,1.0
47104495,47077507,-4.6543283,-4.8055534,1.0
48117420,48080786,-4.607964,-4.7577014,1.0
49145318,49117497,-4.56113,-4.709397,1.0
50118332,50090793,-4.4176445,-4.5611854,1.0
51131271,51086872,-5.026932,-5.1903133,1.0
52144216,52119785,-3.0581446,-3.1574464,1.0
53102239,53077489,-4.4176445,-4.561342,1.0
54130145,54094198,-5.2606926,-5.430755,1.0
55118124,55079621,-4.9233522,-5.082601,1.0
56116091,56079612,3.8335657,3.9578533,1.0
57129035,57101897,4.9426847,5.103418,1.0
58117021,58080797,4.9281826,5.088363,1.0
59130055,59093105,2.4713323,2.5517116,1.0
60127909,60093113,-4.3027396,-4.4429846,1.0
61115883,61080788,4.840259,4.998215,1.0
62103879,62060126,2.2276251,2.300409,1.0
63116794,63088583,2.8978984,2.9926586,1.0
64114761,64070795,5.346153,5.5213585,1.0
65127689,65084204,3.0424802,3.1420667,1.0
66130635,66084200,-1.0245967,-1.0579838,1.0
67103653,67077490,2.4127142,2.491683,1.0
68076656,68030790,2.9710693,3.0684965,1.0
69129503,69110828,-5.8775744,-6.0703607,1.0
70127449,70076229,6.564779,6.780562,1.0
71115424,71084141,4.7052946,4.859348,1.0
72118412,72097492,5.4914436,5.6711516,1.0
73091377,73064198,7.0138664,7.243379,1.0
74129251,74104198,6.668622,6.8869743,1.0
75117218,75070783,4.4230285,4.5679855,1.0
76130161,76100780,5.8450003,6.037036,1.0
77143095,77115214,3.3557003,3.4662826,1.0
78131086,78084202,3.3769627,3.4880042,1.0
79089072,79064322,6.405858,6.6163936,1.0
80102148,80077494,3.8521905,3.9791722,1.0
81090181,81057501,4.8844185,5.0457683,1.0
82102890,82077490,6.2014837,6.4051294,1.0
83115818,83084155,3.3557003,3.466161,1.0
84103799,84077495,-5.6541367,-5.8409114,1.0
85091757,85046874,-4.249178,-4.389977,1.0
86144590,86115213,4.3905444,4.5364075,1.0
87117624,87070793,3.0424802,3.1436038,1.0
88090589,88044197,5.6961637,5.8854,1.0
89128460,89093102,-4.167542,-4.3061914,1.0
90116424,90097490,3.5222,3.639934,1.0
91104391,91077500,4.224385,4.365797,1.0
92142256,92115211,3.269272,3.3780673,1.0
93105276,93077507,5.183011,5.355564,1.0
94103225,94070863,6.07556,6.2780704,1.0
95116135,95070793,6.025879,6.2266183,1.0
96144022,96119783,6.4058585,6.6193137,1.0
97092078,97034197,4.224385,4.3644376,1.0
98129934,98104197,3.3769617,3.4889114,1.0
99077982,99030800,4.8844185,5.046038,1.0
100130820,100104197,2.7457137,2.8365378,1.0
101073893,101022769,3.7733488,3.8984203,1.0
102091767,102066439,-3.8086073,-3.9340417,1.0
103089728,103034214,5.0145645,5.179757,1.0
104102635,104084166,-3.2399719,-3.3468273,1.0
105090598,105064321,3.0424802,3.142782,1.0
106103507,106079765,-3.8086073,-3.9343195,1.0
107116422,107088553,-1.7475233,-1.8051658,1.0
108129402,108101896,5.6961637,5.8836856,1.0
109142242,109110908,2.2276266,2.3010442,1.0
110105261,110084161,-5.4214983,-5.5999928,1.0
111103200,111070915,-4.009999,-4.142137,1.0
112116113,112070786,2.9710693,3.0688984,1.0
113129033,113094204,3.73905,3.8615465,1.0
114077058,114044077,5.183011,5.3527555,1.0
115144853,115117488,4.7507086,4.906383,1.0
116142796,116117490,6.3384657,6.5461397,1.0
117115783,117084140,3.3385947,3.4478574,1.0
118128694,118104213,5.224274,5.395661,1.0
119091791,119044223,4.519076,4.6676497,1.0
120104613,120075209,5.99014,6.1868935,1.0
121102549,121070857,2.3768497,2.45449,1.0
122090503,122077506,4.795693,4.9525485,1.0
123118388,123088546,5.64568,5.8303595,1.0
124116321,124070780,-3.8460095,-3.9718187,1.0
125144221,125119787,-2.96305,-3.059996,1.0
126102212,126084155,5.8450007,6.0364175,1.0
127105133,127077489,-5.2197175,-5.3904905,1.0
128118043,128070797,-2.4028332,-2.481437,1.0
129130952,129086855,-3.3952994,-3.5061471,1.0
130074020,130022766,4.480903,4.6271625,1.0
131131822,131110823,3.3557003,3.4653907,1.0
132104797,132077515,2.0256972,2.0919845,1.0
133127807,133104198,5.658343,5.8437104,1.0
134115774,134070812,1.9167709,1.979518,1.0
135118557,135090789,3.4399576,3.5520203,1.0
136091724,136046870,4.0795836,4.2123704,1.0
137114431,137062775,4.1214743,4.2563186,1.0
138142298,138097511,3.2473066,3.3530934,1.0
139115283,139092941,-1.3815458,-1.4265273,1.0
140103231,140077502,2.3220148,2.3974624,1.0
141116182,141097522,-2.8648012,-2.9576907,1.0
142114075,142070790,2.500126,2.581186,1.0
143131957,143104198,3.180497,3.2836144,1.0
144104933,144060130,5.961395,6.154365,1.0
145102862,145077493,2.5845814,2.6681304,1.0
146090821,146062043,4.7657504,4.919636,1.0
147128663,147074200,4.750709,4.90379,1.0
148091667,148077497,-4.8353405,-4.9907513,1.0
149129570,149104203,-0.436953,-0.45096803,1.0
150102521,150077496,-4.063192,-4.193355,1.0
151145326,151117489,-2.96305,-3.0577734,1.0
152143255,152107488,-2.8143892,-2.9043148,1.0
153101431,153067490,-3.173008,-3.2742574,1.0
154064260,154020140,-3.0768108,-3.1742094,1.0
155132044,155110829,-4.8056464,-4.957548,1.0
156144942,156100130,-2.3848934,-2.460103,1.0
157102950,157070904,4.613125,4.7585154,1.0
158130828,158104326,-4.6543283,-4.8007317,1.0
159143721,159117506,4.7956934,4.9460487,1.0
160131657,160084207,-6.0574803,-6.246841,1.0
161074702,161022769,-2.7837067,-2.8705933,1.0
162127509,162097494,4.0159283,4.1410613,1.0
163115455,163090800,-4.36877,-4.504497,1.0
164128352,164076223,-0.93702817,-0.9660466,1.0
165116294,165090783,-5.2197175,-5.3808856,1.0
166104282,166060133,-1.3815458,-1.424129,1.0
167132116,167094200,-6.729176,-6.935905,1.0
168130043,168104213,-2.6574278,-2.7387855,1.0
169117985,169073500,-1.1052461,-1.1389387,1.0
170115983,170084139,4.9888067,5.140358,1.0
171128802,171100785,-5.0948157,-5.2494597,1.0
172076843,172039607,-6.0219293,-6.20459,1.0
173114690,173062774,-5.993336,-6.1751604,1.0
174102651,174077490,-6.0219293,-6.2045317,1.0
175090574,175046863,-6.0219293,-6.205608,1.0
176118450,176070809,-6.468873,-6.666204,1.0
