timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],pose_frame,velocity_frame,reset_counter,quality
28428334,28427669,-0.2684503,-0.13168286,0.13552475,0.98938274,-0.12859292,0.06658936,0.012315298,-0.06312944,-0.15894301,0.0661282,-0.055434488,-0.007159306,0.020508507,0.019455614,0.019407287,0.040855046,0.00022219757,0.00045783198,0.004468142,0.010047578,0.008722505,0.010099585,1,1,8,0
28927251,28926638,-0.29169288,-0.12751544,0.15950775,0.9904872,-0.11968775,0.06662838,0.013066878,-0.04811738,-0.1375719,0.08718946,0.05887112,-0.0073305834,0.007160651,0.018417204,0.018377827,0.039091725,0.0002047144,0.00043767822,0.004378714,0.009296546,0.008175073,0.009858024,1,1,8,0
29416158,29415629,-0.30301997,-0.122986905,0.19451141,0.9942738,-0.08578955,0.06338097,0.006530506,0.0030320385,-0.14377625,0.13711238,0.19632019,-0.0051477333,-0.015227927,0.02057869,0.020472517,0.042360768,0.00019581013,0.00034547187,0.0044109374,0.010675556,0.009298336,0.010625029,1,1,8,0
29924981,29924579,-0.2956874,-0.10096806,0.24185944,0.99648714,-0.059246495,0.058854748,0.006272114,0.044426143,-0.13421607,0.14614064,0.03368722,-0.05036448,0.051916044,0.01952327,0.019441146,0.04075219,0.00017217774,0.00024760954,0.004479026,0.0098717,0.00862204,0.009687429,1,1,8,0
30424021,30423549,-0.27045402,-0.08989464,0.28440475,0.9974628,-0.04673145,0.05335163,0.006146848,0.1148817,-0.11726102,0.14003617,0.03917685,-0.00012575,0.008180805,0.02015465,0.020041585,0.04143851,0.00015284223,0.00022131695,0.004500777,0.01013953,0.008816001,0.009231363,1,1,8,0
30922951,30922520,-0.26193368,-0.05892902,0.31803513,0.9978095,-0.036627553,0.05423261,0.009672122,0.14827274,-0.037799384,0.10838741,0.07434856,0.02258967,0.04692465,0.0189658,0.0188791,0.039308995,0.00014257079,0.00020285742,0.0044977246,0.009343578,0.00815605,0.008290692,1,1,8,0
31421898,31421491,-0.27294433,-0.0148113165,0.36159515,0.9968282,0.04909703,0.06263509,9.954361e-05,0.15301365,0.051287252,0.14004254,0.49383616,-0.0053967033,-0.09479626,0.019595478,0.019476015,0.039921425,0.00016164558,0.00018556499,0.0044662994,0.009634006,0.008323241,0.007887818,1,1,8,0
31920871,31920463,-0.30554095,0.049936403,0.4128456,0.98734707,0.1362321,0.0800661,-0.013269767,0.066474594,0.14935862,0.11019292,0.19753733,0.03571489,-0.03486843,0.018458856,0.01836064,0.037735842,0.00017856885,0.00041922322,0.0040996266,0.008951453,0.007661639,0.006629224,1,1,8,0
32419888,32419434,-0.35525113,0.09636864,0.44773483,0.98637784,0.14749971,0.07184781,-0.011858602,-0.024645535,0.18457249,0.086631924,-0.01043185,-0.02699681,0.012096921,0.01909397,0.018946301,0.03777608,0.00018071958,0.00055253186,0.0037640152,0.009288465,0.0078553315,0.005831697,1,1,8,0
32918815,32918406,-0.40511924,0.10657585,0.47359085,0.98581874,0.15692417,0.05733017,-0.01579482,-0.05331,0.16969343,0.07333299,0.03335773,-0.045302287,0.07685236,0.017979255,0.017853957,0.035506662,0.00014786747,0.0005317305,0.0036378717,0.008583872,0.0073650894,0.005233958,1,1,8,0
