timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
82831402,82643635,0.09118035,0.09117076,0.20560193,0.25011683,0.2501164,0.5836782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.380749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001547,1.0001379,1.0000002,0.0,0.0,1.9756229,0.0,0.0,0.0
83323982,83136231,0.090760544,0.090758435,0.20558712,0.25006574,0.25006565,0.58330834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.380637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001482,1.0001312,1.0000002,0.0,0.0,1.9702008,0.0,0.0,0.0
83826410,83638679,0.09140283,0.09139926,0.2055986,0.2502335,0.25023302,0.58297515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.380052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001476,1.0001309,1.0000002,0.0,0.0,1.9693834,0.0,0.0,0.0
84328863,84141127,0.09311794,0.0931039,0.20602098,0.25130773,0.25130364,0.58406913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.381107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001489,1.0001323,1.0000002,0.0,0.0,1.9869593,0.0,0.0,0.0
84821452,84633723,0.09559859,0.0955606,0.20638293,0.25440842,0.2543893,0.5853846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001503,1.0001339,1.0000002,0.0,0.0,2.0040941,0.0,0.0,0.0
85323929,85136171,0.09892105,0.09884005,0.20665763,0.2610919,0.26102933,0.5867026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.383664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001518,1.0001355,1.0000002,0.0,0.0,2.0241432,0.0,0.0,0.0
85826422,85638620,0.1302589,0.13025677,0.2064925,100.251755,100.251755,0.58684826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001532,1.0001371,1.0000004,0.0,0.0,1.9669698,0.0,0.0,0.0
86329052,86141074,0.091538385,0.09153326,0.20585611,0.25012955,0.25012952,0.5850477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.382364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001544,1.0001385,1.0000002,0.0,0.0,1.9668044,0.0,0.0,0.0
86831279,86643517,0.09350659,0.09346944,0.20621245,0.2510696,0.2510643,0.5860697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.382692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000156,1.0001403,1.0000002,0.0,0.0,1.9894267,0.0,0.0,0.0
87323905,87136113,0.09679932,0.09669821,0.20649323,0.25413942,0.25410062,0.58701724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001577,1.0001421,1.0000002,0.0,0.0,2.0279849,0.0,0.0,0.0
87826322,87638562,0.13006899,0.1300684,0.20635082,100.25041,100.25041,0.5869473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001596,1.000144,1.0000004,0.0,0.0,1.964496,0.0,0.0,0.0
88328816,88141011,0.09449911,0.094490066,0.206308,0.25038427,0.2503841,0.58689016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.383446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001612,1.0001459,1.0000004,0.0,0.0,1.9734865,0.0,0.0,0.0
88821335,88633608,0.09720599,0.097147144,0.20657364,0.2530117,0.25300223,0.58784455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.384979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001631,1.0001479,1.0000002,0.0,0.0,2.0176098,0.0,0.0,0.0
89323844,89136057,0.10193614,0.101779476,0.20678207,0.25999874,0.25993308,0.5888003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001651,1.0001501,1.0000002,0.0,0.0,2.091764,0.0,0.0,0.0
