timestamp,lat,lon,alt,x,y,z,roll,pitch,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
82470931,31.1856318,117.19760319999999,48.929,0.0,0.0,0.0,0.0,0.0,0.0,305,1,1,0,0
88700664,31.185632899999998,117.19760149999999,49.302,0.0,0.0,0.0,0.0,0.0,0.0,306,1,1,0,0
88711665,31.185632899999998,117.19760149999999,49.302,0.0,0.0,0.0,0.0,0.0,0.0,307,1,1,0,0
88723250,31.185632899999998,117.19760149999999,49.302,0.0,0.0,0.0,0.0,0.0,0.0,308,1,1,0,0
88733681,31.185632899999998,117.19760149999999,49.302,0.0,0.0,0.0,0.0,0.0,0.0,309,1,1,0,0
88744670,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,310,1,1,0,0
88755687,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,311,1,1,0,0
88766667,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,312,1,1,0,0
88777664,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,313,1,1,0,0
88788664,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,314,1,1,0,0
88799678,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,315,1,1,0,0
88810664,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,316,1,1,0,0
88821664,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,317,1,1,0,0
88832695,31.185632899999998,117.19760149999999,49.306,0.0,0.0,0.0,0.0,0.0,0.0,318,1,1,0,0
88843681,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,319,1,1,0,0
88854664,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,320,1,1,0,0
88865667,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,321,1,1,0,0
88876664,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,322,1,1,0,0
88887664,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,323,1,1,0,0
88898664,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,324,1,1,0,0
88910093,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,325,1,1,0,0
88920667,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,326,1,1,0,0
88932392,31.185632899999998,117.19760149999999,49.304,0.0,0.0,0.0,0.0,0.0,0.0,327,1,1,0,0
88942669,31.185633,117.1976016,49.294,0.0,0.0,0.0,0.0,0.0,0.0,328,1,1,0,0
88953678,31.185633,117.1976016,49.294,0.0,0.0,0.0,0.0,0.0,0.0,329,1,1,0,0
88964664,31.185633,117.1976016,49.294,0.0,0.0,0.0,0.0,0.0,0.0,330,1,1,0,0
88975667,31.185633,117.1976016,49.294,0.0,0.0,0.0,0.0,0.0,0.0,331,1,1,0,0
88986713,31.185633,117.1976016,49.294,0.0,0.0,0.0,0.0,0.0,0.0,332,1,1,0,0
88997816,31.185633,117.1976016,49.294,0.0,0.0,0.0,0.0,0.0,0.0,333,1,1,0,0
89008778,31.185633,117.1976016,49.294,0.0,0.0,0.0,0.0,0.0,0.0,334,1,1,0,0
89022193,31.185633,117.1976016,49.294,-1.395492,0.5652265,3.6928062,0.004832189,0.07570582,2.6232815,335,1,1,1,0
