timestamp,rpm_estimate,rpm_raw
82534294,3e-45,0.0
82544155,3e-45,0.0
82734294,3e-45,0.0
82934301,3e-45,0.0
83134311,3e-45,0.0
83334294,3e-45,0.0
83534287,3e-45,0.0
83734308,3e-45,0.0
83934299,3e-45,0.0
84134302,3e-45,0.0
84334293,3e-45,0.0
84534307,3e-45,0.0
84734292,3e-45,0.0
84934330,3e-45,0.0
85134293,3e-45,0.0
85334298,3e-45,0.0
85534292,3e-45,0.0
85734306,3e-45,0.0
85934299,3e-45,0.0
86134293,3e-45,0.0
86334332,3e-45,0.0
86534328,3e-45,0.0
86734296,3e-45,0.0
86934328,3e-45,0.0
87134323,3e-45,0.0
87334306,3e-45,0.0
87534302,3e-45,0.0
87734292,3e-45,0.0
87934306,3e-45,0.0
88134304,3e-45,0.0
88334289,3e-45,0.0
88534295,3e-45,0.0
88734294,3e-45,0.0
88934290,3e-45,0.0
89134296,3e-45,0.0
89334303,3e-45,0.0
89534294,3e-45,0.0
