timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
82534979,0.0,0.0,0.0
82537477,0.0,0.0,0.0
82736973,0.0,0.0,0.0
82936479,0.0,0.0,0.0
83135984,0.0,0.0,0.0
83335489,0.0,0.0,0.0
83537518,0.0,0.0,0.0
83736984,0.0,0.0,0.0
83936489,0.0,0.0,0.0
84135996,0.0,0.0,0.0
84335497,0.0,0.0,0.0
84535008,0.0,0.0,0.0
84737002,0.0,0.0,0.0
84936507,0.0,0.0,0.0
85136014,0.0,0.0,0.0
85335538,0.0,0.0,0.0
85535025,0.0,0.0,0.0
85734531,0.0,0.0,0.0
85934052,0.0,0.0,0.0
86138574,0.0,0.0,0.0
86338031,0.0,0.0,0.0
86537535,0.0,0.0,0.0
86737038,0.0,0.0,0.0
86936545,0.0,0.0,0.0
87136051,0.0,0.0,0.0
87335629,0.0,0.0,0.0
87537556,0.0,0.0,0.0
87737059,0.0,0.0,0.0
87936562,0.0,0.0,0.0
88136067,0.0,0.0,0.0
88335573,0.0,0.0,0.0
88535094,0.0,0.0,0.0
88734612,0.0,0.0,0.0
88939095,0.0,0.0,0.0
89138591,0.0,0.0,0.0
89338098,0.0,0.0,0.0
89537604,0.0,0.0,0.0
