timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
82532373,-0.008523644,0.00517831,-0.004530405,4988,0,0.7397088,0.119658306,-9.784727,4903,0,0,2,1
82537361,0.0036305687,0.003118663,0.0061814985,4988,0,0.6587575,-0.03944281,-9.889565,4904,0,0,2,1
82542348,0.006823706,0.002011181,0.005518958,4987,0,0.7791171,0.12849298,-9.854517,4903,0,0,2,1
82547336,0.0012252956,-0.00034275794,-0.002669081,4988,0,0.7717326,0.06523351,-9.708288,4903,0,0,2,1
82552323,0.008735788,-0.007479549,-0.0027519623,4987,0,0.76981103,0.09827871,-9.754917,4904,0,0,2,1
82557311,0.0086837895,0.0077761,-0.00093025644,4988,0,0.73403317,-0.027562257,-9.81385,4904,0,0,2,1
82562300,0.009381878,0.0002668109,0.0047936277,4989,0,0.8017535,0.074051246,-9.776163,4903,0,0,2,1
82567286,0.0062367395,-0.0007524045,0.002273002,4986,0,0.7885354,0.029689008,-9.835508,4904,0,0,2,1
82572274,0.014542613,-0.00037183266,-0.0010841108,4988,0,0.7940853,-0.0027080928,-9.930589,4904,0,0,2,1
82577261,0.0077311904,-0.002994187,0.0054803467,4987,0,0.75654894,0.039612737,-9.86177,4903,0,0,2,1
82582249,0.008096974,0.00038924266,-0.0019164793,4988,0,0.83367735,0.04642639,-9.82015,4905,0,0,2,1
82587237,0.011723233,0.0006254187,0.0026657528,4988,0,0.7942146,0.030694103,-9.788288,4903,0,0,2,1
82592224,0.005869003,0.0021912665,0.007387522,4987,0,0.7847831,0.06928689,-9.8272505,4904,0,0,2,1
82597212,0.009110914,0.010473661,0.00013058749,4988,0,0.7585487,0.044776727,-9.729425,4905,0,0,2,1
82602199,0.017205594,0.011079003,-0.0009850811,4987,0,0.7378063,0.014303837,-9.8244505,4906,0,0,2,1
82607187,0.0067747277,-0.0026657947,0.0078845,4988,0,0.72642744,0.07762773,-9.8686,4901,0,0,2,1
82612175,0.016623978,0.008925374,0.0032383145,4988,0,0.6850753,0.068416566,-9.883847,4903,0,0,2,1
82617162,0.011565896,-0.00052553124,0.004455981,4987,0,0.7659571,0.077342525,-9.853537,4904,0,0,2,1
82622150,0.019290676,0.005501539,0.0069557987,4988,0,0.74344426,0.059451595,-9.806607,4905,0,0,2,1
82627138,0.013752374,0.0020719215,0.008070631,4988,0,0.77354157,0.098815046,-9.785138,4903,0,0,2,1
82632125,0.021896316,0.002966535,0.0028054137,4987,0,0.7678744,0.040642146,-9.81453,4904,0,0,2,1
82637113,0.022161264,-0.0042458693,0.0010222855,4988,0,0.7640993,0.010619306,-9.830188,4904,0,0,2,1
