timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,type
55175115,0.0,0.0,nan,0.0,nan,nan,50.0,5
189437983,0.0,0.0,0.11371541,1.6845118,-79.65384,0.3461517,50.0,2
189457617,0.0,0.0,0.11263752,1.6834339,-79.53733,0.4626683,50.0,2
189920643,0.0,0.0,0.21582913,1.7866255,-76.7969,3.2030907,50.0,2
190433071,0.0,0.0,0.31587958,1.886676,-73.66476,6.335244,50.0,2
190935290,0.0,0.0,0.40788198,1.9786783,-70.57878,9.42122,50.0,2
191437774,0.0,0.0,0.49886715,2.0696635,-67.37668,12.623318,50.0,2
191940119,0.0,0.0,0.6034275,2.174224,-64.25217,15.747838,50.0,2
192432682,0.0,0.0,0.70716083,2.2779572,-61.20941,18.790583,50.0,2
192935133,0.0,0.0,0.8006209,2.3714173,-58.322628,21.677368,50.0,2
193437566,0.0,0.0,0.8805388,2.4513352,-55.85857,24.141422,50.0,2
193920221,0.0,0.0,0.9415535,2.5123498,-53.801815,26.198193,50.0,2
194432658,0.0,0.0,0.99711955,2.567916,-51.752697,28.247295,50.0,2
194934919,0.0,0.0,1.0517634,2.6225598,-49.830414,30.169586,50.0,2
195437356,0.0,0.0,1.111905,2.6827013,-47.770016,32.229984,50.0,2
195939722,0.0,0.0,1.1735531,2.7443495,-45.737465,34.26253,50.0,2
196432966,0.0,0.0,1.2296833,2.8004797,-43.96032,36.039692,50.0,2
196934687,0.0,0.0,1.2718273,2.8426237,-42.345596,37.6544,50.0,2
197437124,0.0,0.0,1.3030099,2.8738062,-41.06935,38.930653,50.0,2
197939538,0.0,0.0,1.3304893,2.9012856,-39.981113,40.018898,50.0,2
198422224,0.0,0.0,1.3622402,2.9330366,-38.69987,41.300133,50.0,2
198934705,0.0,0.0,1.4000133,2.9708097,-37.08026,42.919727,50.0,2
199436939,0.0,0.0,1.4387339,3.0095303,-35.577198,44.42281,50.0,2
199939284,0.0,0.0,1.4771348,3.0479312,-34.293293,45.70671,50.0,2
200422049,0.0,0.0,1.5130872,3.0838835,-33.229523,46.770477,50.0,2
200934531,0.0,0.0,1.5475,3.1182964,-32.439953,47.56005,50.0,2
201436664,0.0,0.0,-3.1333063,-3.1333063,0.0,48.162037,50.0,2
201939427,0.0,0.0,1.6115829,-3.1008062,-31.463465,48.53653,50.0,2
202421799,0.0,0.0,1.6465346,-3.0658545,-31.269611,48.730385,50.0,2
202934345,0.0,0.0,1.689777,-3.0226123,-31.242136,48.75787,50.0,2
203436719,0.0,0.0,1.7389523,-2.973437,-31.373646,48.626358,50.0,2
203938907,0.0,0.0,1.8023984,-2.9196606,-31.59189,48.40812,50.0,2
204421573,0.0,0.0,1.8870984,-2.866333,-31.7324,48.267605,50.0,2
204934081,0.0,0.0,1.9009161,-2.8114731,-31.883974,48.11604,50.0,2
205436462,0.0,0.0,1.9515262,-2.7608628,-31.9251,48.07491,50.0,2
205938647,0.0,0.0,2.0019665,-2.7104225,-31.79589,48.204113,50.0,2
206441070,0.0,0.0,2.0519075,-2.6604817,-31.589783,48.410217,50.0,2
206933849,0.0,0.0,2.0998616,-2.6125274,-31.142075,48.85793,50.0,2
207436463,0.0,0.0,2.1435542,-2.5688348,-30.577635,49.42236,50.0,2
207938423,0.0,0.0,2.182509,-2.52988,-29.881556,50.118443,50.0,2
208421240,0.0,0.0,2.2136273,-2.4987617,-29.056995,50.94301,50.0,2
208933586,0.0,0.0,2.243672,-2.468717,-27.972075,52.027927,50.0,2
209436122,0.0,0.0,2.270773,-2.441616,-26.729889,53.270107,50.0,2
209938230,0.0,0.0,2.2943492,-2.41804,-25.430449,54.56955,50.0,2
210440673,0.0,0.0,2.3132367,-2.3991523,-24.082003,55.918,50.0,2
210933351,0.0,0.0,-2.3849108,-2.3849108,0.0,57.277718,50.0,2
211435878,0.0,0.0,-2.3732574,-2.3732574,0.0,58.54767,50.0,2
211938014,0.0,0.0,-2.3636446,-2.3636446,0.0,59.745354,50.0,2
212440447,0.0,0.0,-2.3520737,-2.3520737,0.0,60.821053,50.0,2
212932966,0.0,0.0,-2.3368258,-2.3368258,0.0,61.80348,50.0,2
213435423,0.0,0.0,2.7495632,-2.3174577,-17.381153,62.61884,50.0,2
213937786,0.0,0.0,3.1985154,-2.2915506,-16.815042,63.18496,50.0,2
214420523,0.0,0.0,3.3734138,-2.2591057,-16.663582,63.336407,50.0,2
214932788,0.0,0.0,3.5262833,-2.217236,-17.10652,62.893486,50.0,2
215435155,0.0,0.0,3.5783472,-2.1707122,-18.073277,61.926723,50.0,2
215937653,0.0,0.0,3.5315704,-2.1260467,-19.385975,60.61403,50.0,2
216439964,0.0,0.0,3.469299,-2.0834274,-20.644945,59.35506,50.0,2
216933031,0.0,0.0,3.3677237,-2.0460114,-21.869713,58.130283,50.0,2
217434895,0.0,0.0,3.3768587,-2.0102453,-23.296774,56.703224,50.0,2
217937416,0.0,0.0,3.364733,-1.9745492,-24.922306,55.077694,50.0,2
218420023,0.0,0.0,3.3626204,-1.9406804,-26.66522,53.334785,50.0,2
218932608,0.0,0.0,3.3028617,-1.90602,-28.654537,51.34546,50.0,2
219434753,0.0,0.0,3.031281,-1.8734871,-30.625675,49.374313,50.0,2
219937132,0.0,0.0,2.8687286,-1.8436602,-32.50839,47.491615,50.0,2
220439525,0.0,0.0,2.8945332,-1.8178557,-34.346985,45.653015,50.0,2
220932691,0.0,0.0,2.9197083,-1.7926809,-36.189644,43.810356,50.0,2
