timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale_raw,tas_scale_raw_var,tas_scale_validated,beta_innov,beta_innov_var,source
153680004,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
154680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
155680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
156680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
157680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
158680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
159680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
160680004,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
161680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
162680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
163680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
164680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
165680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
166680003,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003536,0.0,0.0,1
167680003,0,8.526707,7.842065,1.2196476,1.1688651,-14.182771,3.8864598,1.003536,0.0,1.003536,0.29834503,0.03608299,1
168680004,0,8.526707,7.842065,1.2296479,1.1788653,-13.684152,3.5073316,1.003536,1.0000209e-08,1.003536,1.9081168,0.54733896,1
