timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
153825990,0,0,102,1,0
155850833,0,0,102,1,0
157876070,0,0,102,1,0
159901193,0,0,102,1,0
161926411,0,0,102,1,0
163941425,0,0,102,1,0
165966658,0,0,102,1,0
167986767,0,0,102,1,0
170016892,0,0,102,1,0
172041887,0,0,102,1,0
174050126,0,0,102,1,0
176069776,0,0,102,1,0
178099135,0,0,102,1,0
180128530,0,0,102,1,0
182148120,0,0,102,1,0
184177576,0,0,102,1,0
186197038,0,0,102,1,0
188216505,0,0,102,1,0
190236043,0,0,102,1,0
192255573,0,0,102,1,0
194284773,0,0,102,1,0
196314238,0,0,102,1,0
198333667,0,0,102,1,0
200353412,0,0,102,1,0
202372789,0,0,102,1,0
204402109,0,0,102,1,0
206421468,0,0,102,1,0
208450786,0,0,102,1,0
210470265,0,0,102,1,0
212499731,0,0,102,1,0
214519206,0,0,102,1,0
216548523,0,0,102,1,0
218568002,0,0,102,1,0
220597191,0,0,102,1,0
222616664,0,0,102,1,0
224646019,0,0,102,1,0
226665372,0,0,102,1,0
228695044,0,0,102,1,0
230714302,0,0,102,1,0
232743923,0,0,102,1,0
234763003,0,0,102,1,0
236792185,0,0,102,1,0
238811635,0,0,102,1,0
240841147,0,0,102,1,0
242870267,0,0,102,1,0
244889883,0,0,102,1,0
246909233,0,0,102,1,0
248938873,0,0,102,1,0
250957997,0,0,102,1,0
252987140,0,0,102,1,0
255006585,0,0,102,1,0
257026151,0,0,102,1,0
259055511,0,0,102,1,0
261074816,0,0,102,1,0
263084248,0,0,102,1,0
265103950,0,0,102,1,0
267132976,0,0,102,1,0
269162397,0,0,102,1,0
271181726,0,0,102,1,0
273201169,0,0,102,1,0
275210591,0,0,102,1,0
277249756,0,0,102,1,0
279269426,0,0,102,1,0
281288733,0,0,102,1,0
283317765,0,0,102,1,0
285347059,0,0,102,1,0
287366733,0,0,102,1,0
289395665,0,0,102,1,0
291405241,0,0,102,1,0
293444471,0,0,102,1,0
295454022,0,0,102,1,0
297483224,0,0,102,1,0
299502589,0,0,102,1,0
301531789,0,0,102,1,0
303551195,0,0,102,1,0
305580405,0,0,102,1,0
307599811,0,0,102,1,0
309629025,0,0,102,1,0
311648723,0,0,102,1,0
313677971,0,0,102,1,0
315697064,0,0,102,1,0
317726228,0,0,102,1,0
319745910,0,0,102,1,0
321746490,0,0,102,1,0
323764734,0,0,102,1,0
325784208,0,0,102,1,0
327803585,0,0,102,1,0
329832924,0,0,102,1,0
331852137,0,0,102,1,0
333881398,0,0,102,1,0
335900815,0,0,102,1,0
337930014,0,0,102,1,0
339949442,0,0,102,1,0
341978999,0,0,102,1,0
343998735,0,0,102,1,0
346027497,0,0,102,1,0
348046955,0,0,102,1,0
350076199,0,0,102,1,0
352095580,0,0,102,1,0
354124900,0,0,102,1,0
356144559,0,0,102,1,0
358173945,0,0,102,1,0
360193098,0,0,102,1,0
362212592,0,0,102,1,0
364241967,0,0,102,1,0
366261391,0,0,102,1,0
368290685,0,0,102,1,0
370310145,0,0,102,1,0
372339902,0,0,102,1,0
374359050,0,0,102,1,0
376388303,0,0,102,1,0
378407897,0,0,102,1,0
380437127,0,0,102,1,0
382456668,0,0,102,1,0
384486130,0,0,102,1,0
386505533,0,0,102,1,0
388535005,0,0,102,1,0
390554645,0,0,102,1,0
392573858,0,0,102,1,0
394603143,0,0,102,1,0
396622726,0,0,102,1,0
398652193,0,0,102,1,0
400671558,0,0,102,1,0
402700955,0,0,102,1,0
404720511,0,0,102,1,0
406750053,0,0,102,1,0
408769523,0,0,102,1,0
410798817,0,0,102,1,0
412818475,0,0,102,1,0
414838220,0,0,102,1,0
416867322,0,0,102,1,0
418886911,0,0,102,1,0
420916328,0,0,102,1,0
422936569,0,0,102,1,0
424965265,0,0,102,1,0
426984868,0,0,102,1,0
429014395,0,0,102,1,0
431034001,0,0,102,1,0
433063364,0,0,102,1,0
435082911,0,0,102,1,0
437102527,0,0,102,1,0
439132069,0,0,102,1,0
441151636,0,0,102,1,0
443181235,0,0,102,1,0
