timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
2318271,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
7869057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
85348643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
91832241,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
99602183,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
110893356,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
130635890,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
274299237,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
274299266,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
274299267,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
