timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
153066107,152872874,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
153529123,153337703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
154070941,153876700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
154534658,154338712,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
155056106,154868084,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
155529048,155334722,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
156090909,155897704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
156524251,156334700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
157065823,156868702,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
157528951,157337700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
158070699,157877703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
158533742,158338725,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
159065757,158872703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
159528781,159337701,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
160061379,159869711,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
160523797,160332705,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
161055867,160866704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
161528650,161332704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
162060873,161866743,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
162523600,162330703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
163055844,162864010,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
163518633,163330704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
164051231,163858714,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
164523568,164332700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
165065446,164869700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
165528444,165334700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
166070298,165878753,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
166533320,166336708,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
167065333,166872700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
167528414,167332828,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
168060374,167870700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
168533232,168336704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
169084976,168887703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
169528571,169337704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
170060265,169868714,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
170533181,170336703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
171084863,170887699,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
171528289,171338713,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
172079850,171887700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
172533069,172339700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
173075007,172877704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
173528648,173337703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
174069966,173877704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
174533013,174337703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
175075304,174877705,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
175528094,175338812,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
176079725,175887704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
176532872,176340700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
177064948,176874802,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
177527817,177334700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
178069780,177873703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
178532784,178336703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
179075089,178883703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
179527667,179337700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
180079401,179889713,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
180532582,180338763,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
181064531,180870705,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
181527617,181336706,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
182069308,181879713,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
182532312,182336712,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
183064313,182866706,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
183527286,183333704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
184079045,183883700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
184532235,184337700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
185064179,184868712,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
185527103,185336705,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
186068959,185873700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
186522103,186332967,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
187054204,186861703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
187526981,187329713,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
188058915,187866703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
188522415,188328067,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
189063729,188869901,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
189526761,189330703,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
190068554,189878713,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
190531686,190336713,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
191063546,190868707,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
191526594,191333699,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
192058674,191869701,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
192531505,192339700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
193073305,192883701,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
193536349,193338714,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
194068726,193877700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0
