timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
194639419,73.54859,61.92335,-32.52783,nan,nan,nan,nan,nan,nan,0.7467567,0.0,0.0,nan,nan
194737909,72.813805,62.370586,-32.52783,nan,nan,nan,nan,nan,nan,0.7578369,0.0,0.0,nan,nan
194836897,72.067696,62.813747,-32.52783,nan,nan,nan,nan,nan,nan,0.768973,0.0,0.0,nan,nan
194934908,71.27124,63.274837,-32.52783,nan,nan,nan,nan,nan,nan,0.7799979,0.0,0.0,nan,nan
195033419,70.48072,63.720516,-32.52783,nan,nan,nan,nan,nan,nan,0.79108185,0.0,0.0,nan,nan
195122131,69.74309,64.125824,-32.52783,nan,nan,nan,nan,nan,nan,0.8010618,0.0,0.0,nan,nan
195240424,68.72714,64.66767,-32.52783,nan,nan,nan,nan,nan,nan,0.81436974,0.0,0.0,nan,nan
195338792,67.90671,65.09168,-32.52783,nan,nan,nan,nan,nan,nan,0.82315236,0.0,0.0,nan,nan
195437346,67.024345,65.534424,-32.52783,nan,nan,nan,nan,nan,nan,0.815454,0.0,0.0,nan,nan
195535834,66.15147,65.959114,-32.52783,nan,nan,nan,nan,nan,nan,0.8237396,0.0,0.0,nan,nan
195635072,65.302826,66.359566,-32.52783,nan,nan,nan,nan,nan,nan,0.8166488,0.0,0.0,nan,nan
195733057,64.40515,66.77003,-32.52783,nan,nan,nan,nan,nan,nan,0.80801094,0.0,0.0,nan,nan
195821708,63.603165,67.125496,-32.52783,nan,nan,nan,nan,nan,nan,0.81098354,0.0,0.0,nan,nan
195939712,62.538208,67.581375,-32.52783,nan,nan,nan,nan,nan,nan,0.7981296,0.0,0.0,nan,nan
196038346,61.628967,67.9563,-32.52783,nan,nan,nan,nan,nan,nan,0.79117626,0.0,0.0,nan,nan
196136961,60.77465,68.29674,-32.52783,nan,nan,nan,nan,nan,nan,0.78530025,0.0,0.0,nan,nan
196235275,59.93618,68.61985,-32.52783,nan,nan,nan,nan,nan,nan,0.77423996,0.0,0.0,nan,nan
196333782,59.097,68.9325,-32.52783,nan,nan,nan,nan,nan,nan,0.76667273,0.0,0.0,nan,nan
196432955,58.350876,69.20154,-32.52783,nan,nan,nan,nan,nan,nan,0.75756496,0.0,0.0,nan,nan
196520925,57.70188,69.42879,-32.52783,nan,nan,nan,nan,nan,nan,0.74766845,0.0,0.0,nan,nan
196639200,56.871033,69.710625,-32.52783,nan,nan,nan,nan,nan,nan,0.74304837,0.0,0.0,nan,nan
196737688,56.289307,69.901924,-32.52783,nan,nan,nan,nan,nan,nan,0.7324488,0.0,0.0,nan,nan
196836191,55.703247,70.08969,-32.52783,nan,nan,nan,nan,nan,nan,0.72596496,0.0,0.0,nan,nan
196934676,55.15078,70.26215,-32.52783,nan,nan,nan,nan,nan,nan,0.73361135,0.0,0.0,nan,nan
197033234,54.65638,70.41278,-32.52783,nan,nan,nan,nan,nan,nan,0.72400004,0.0,0.0,nan,nan
197141612,54.103363,70.57715,-32.52783,nan,nan,nan,nan,nan,nan,0.7291516,0.0,0.0,nan,nan
197220647,53.729244,70.68589,-32.52783,nan,nan,nan,nan,nan,nan,0.73785806,0.0,0.0,nan,nan
197338579,53.21627,70.83179,-32.52783,nan,nan,nan,nan,nan,nan,0.7299659,0.0,0.0,nan,nan
197437112,52.755775,70.95962,-32.52783,nan,nan,nan,nan,nan,nan,0.7392626,0.0,0.0,nan,nan
197535631,52.34821,71.07028,-32.52783,nan,nan,nan,nan,nan,nan,0.75034565,0.0,0.0,nan,nan
197634149,51.955994,71.174614,-32.52783,nan,nan,nan,nan,nan,nan,0.75591856,0.0,0.0,nan,nan
197732623,51.521652,71.28766,-32.52783,nan,nan,nan,nan,nan,nan,0.76698804,0.0,0.0,nan,nan
197840990,51.068848,71.402756,-32.52783,nan,nan,nan,nan,nan,nan,0.7791795,0.0,0.0,nan,nan
197939528,50.62806,71.5121,-32.52783,nan,nan,nan,nan,nan,nan,0.7885897,0.0,0.0,nan,nan
198038016,50.142426,71.629486,-32.52783,nan,nan,nan,nan,nan,nan,0.7996696,0.0,0.0,nan,nan
198136561,49.66874,71.740906,-32.52783,nan,nan,nan,nan,nan,nan,0.81075597,0.0,0.0,nan,nan
198237443,49.15754,71.85774,-32.52783,nan,nan,nan,nan,nan,nan,0.822105,0.0,0.0,nan,nan
198333543,48.632195,71.97415,-32.52783,nan,nan,nan,nan,nan,nan,0.8329165,0.0,0.0,nan,nan
198422213,48.15178,72.07737,-32.52783,nan,nan,nan,nan,nan,nan,0.83709866,0.0,0.0,nan,nan
198540437,47.473045,72.21794,-32.52783,nan,nan,nan,nan,nan,nan,0.8470986,0.0,0.0,nan,nan
198638996,46.92272,72.32743,-32.52783,nan,nan,nan,nan,nan,nan,0.85,0.0,0.0,nan,nan
198737485,46.344055,72.43823,-32.52783,nan,nan,nan,nan,nan,nan,0.8499384,0.0,0.0,nan,nan
198835956,45.759827,72.54563,-32.52783,nan,nan,nan,nan,nan,nan,0.85,0.0,0.0,nan,nan
198934694,45.184303,72.64705,-32.52783,nan,nan,nan,nan,nan,nan,0.84725,0.0,0.0,nan,nan
199033056,44.569313,72.750656,-32.52783,nan,nan,nan,nan,nan,nan,0.85,0.0,0.0,nan,nan
199121659,44.04292,72.83542,-32.52783,nan,nan,nan,nan,nan,nan,0.85,0.0,0.0,nan,nan
199239904,43.32128,72.945786,-32.52783,nan,nan,nan,nan,nan,nan,0.8366977,0.0,0.0,nan,nan
199338441,42.70749,73.034355,-32.52783,nan,nan,nan,nan,nan,nan,0.8374409,0.0,0.0,nan,nan
199436929,42.12229,73.114296,-32.52783,nan,nan,nan,nan,nan,nan,0.8263936,0.0,0.0,nan,nan
199535502,41.51126,73.19306,-32.52783,nan,nan,nan,nan,nan,nan,0.8188678,0.0,0.0,nan,nan
199634156,40.912865,73.26558,-32.52783,nan,nan,nan,nan,nan,nan,0.8188579,0.0,0.0,nan,nan
199732655,40.319595,73.33296,-32.52783,nan,nan,nan,nan,nan,nan,0.80777675,0.0,0.0,nan,nan
199821076,39.768204,73.39158,-32.52783,nan,nan,nan,nan,nan,nan,0.8141391,0.0,0.0,nan,nan
199939274,39.069954,73.46026,-32.52783,nan,nan,nan,nan,nan,nan,0.8083016,0.0,0.0,nan,nan
200037807,38.468445,73.514465,-32.52783,nan,nan,nan,nan,nan,nan,0.80752516,0.0,0.0,nan,nan
200136344,37.871998,73.56371,-32.52783,nan,nan,nan,nan,nan,nan,0.817486,0.0,0.0,nan,nan
200234878,37.295296,73.607056,-32.52783,nan,nan,nan,nan,nan,nan,0.80884665,0.0,0.0,nan,nan
200333361,36.700684,73.647354,-32.52783,nan,nan,nan,nan,nan,nan,0.81647086,0.0,0.0,nan,nan
200422038,36.20215,73.67772,-32.52783,nan,nan,nan,nan,nan,nan,0.81855047,0.0,0.0,nan,nan
200540268,35.55172,73.71265,-32.52783,nan,nan,nan,nan,nan,nan,0.81102484,0.0,0.0,nan,nan
200638742,34.989777,73.73854,-32.52783,nan,nan,nan,nan,nan,nan,0.82210314,0.0,0.0,nan,nan
200737280,34.484856,73.75844,-32.52783,nan,nan,nan,nan,nan,nan,0.8164337,0.0,0.0,nan,nan
200835744,33.961754,73.77567,-32.52783,nan,nan,nan,nan,nan,nan,0.8217355,0.0,0.0,nan,nan
200934520,33.451527,73.78919,-32.52783,nan,nan,nan,nan,nan,nan,0.8328478,0.0,0.0,nan,nan
201032770,32.97145,73.798935,-32.52783,nan,nan,nan,nan,nan,nan,0.82814986,0.0,0.0,nan,nan
201121440,32.494534,73.805756,-32.52783,nan,nan,nan,nan,nan,nan,0.8375219,0.0,0.0,nan,nan
201239668,31.913475,73.810234,-32.52783,nan,nan,nan,nan,nan,nan,0.8448789,0.0,0.0,nan,nan
201338210,31.430317,73.810745,-32.52783,nan,nan,nan,nan,nan,nan,0.8493587,0.0,0.0,nan,nan
