timestamp,rpm_estimate,rpm_raw
152794120,-0.0015637228,0.0
152834766,-0.0012509783,0.0
152994119,-0.00016790349,0.0
153144126,-1.1538241e-05,0.0
153374119,-1.5486364e-06,0.0
153594123,-3.4872194e-08,0.0
153794277,35.366985,0.0
153954118,3.038001,0.0
154184119,0.106890164,0.0
154334762,0.017933194,0.0
154594119,0.08685674,0.0
154794129,-33.09337,-165.48595
154984118,3.1516168,0.0
155194119,0.27072185,0.0
155394129,-66.15128,-330.87268
155564137,-4.8809915,0.0
155794119,-0.2146683,0.0
155994118,-0.014751894,0.0
156194119,-0.0005190362,0.0
156374134,-5.573109e-05,0.0
156594118,-5.9840804e-06,0.0
156794119,-6.425359e-07,0.0
156994119,-4.415473e-08,0.0
157194124,-1.5535566e-09,0.0
157394119,-8.540768e-11,0.0
157524833,-9.170579e-12,0.0
157754118,-1.5385679e-12,0.0
157994119,-2.7716377e-14,0.0
158194119,-3.720029e-15,0.0
158394121,100.33556,158.17148
158574119,277.746,583.64984
158794179,410.30695,429.59436
158994118,368.69623,531.7383
159194119,467.75812,461.47235
159374119,618.88727,809.39526
159594119,721.9702,766.1898
159794446,658.8071,682.27936
159954141,857.31805,998.29205
160194136,931.0609,1035.349
160394118,744.9916,897.94904
160566663,825.19543,764.21545
160764118,881.21,843.17255
160994119,762.8267,928.7108
161194119,866.24817,972.6563
161394117,800.5372,38.68737
161574130,1089.9384,1312.3898
161684125,914.46783,955.9693
161994119,444.4489,-246.21071
162194122,815.2678,1259.3878
162374118,1107.5074,1248.2964
162594119,1038.323,1405.9115
162794121,922.9641,1311.6688
162994123,904.16846,-131.09364
163194119,893.5835,1282.2513
163394119,1155.502,1233.2749
163594119,943.838,335.99768
163773736,987.72833,239.68802
163994144,1184.8536,1548.8622
164194118,819.48914,1065.2639
164394174,1169.315,1327.0413
164574131,1542.6184,1689.8667
164773825,755.8544,0.0
164994119,1283.2294,1420.8986
165184122,1097.9081,-8.788371
165384118,1612.818,1539.705
165594119,1407.8446,1719.3829
165794119,1544.6046,1448.7305
165994137,1098.0494,-220.07547
166194125,1589.6968,1641.1052
