timestamp,io_errors,frames_tx,frames_rx,interface
19887535,766,769,0,1
19989533,784,774,0,1
20091532,789,775,0,1
20193532,790,775,0,1
20295545,790,775,0,1
20397548,790,775,0,1
20499534,790,778,0,1
20602401,793,778,0,1
20703574,793,778,0,1
20805531,794,778,0,1
20907580,794,795,0,1
21009545,812,798,0,1
21111531,815,799,0,1
21213537,816,799,0,1
21315530,816,799,0,1
21417531,816,802,0,1
21519565,819,802,0,1
21621530,819,802,0,1
21723721,819,802,0,1
21825531,820,819,0,1
21927531,836,822,0,1
22029532,839,822,0,1
22131532,839,822,0,1
22233532,839,823,0,1
22335531,840,823,0,1
22437531,840,823,0,1
22539532,840,826,0,1
22641803,843,826,0,1
22743531,843,826,0,1
22845531,844,843,0,1
22947531,860,843,0,1
23049533,860,847,0,1
23151531,864,848,0,1
23253531,865,849,0,1
23355531,866,851,0,1
23457531,868,852,0,1
23559536,869,856,0,1
23661531,873,857,0,1
23763745,874,859,0,1
23865616,877,876,0,1
23967531,894,879,0,1
24069533,897,880,0,1
24171531,898,880,0,1
24273531,898,880,0,1
24375544,898,880,0,1
24477549,898,883,0,1
24579533,901,884,0,1
24681531,902,884,0,1
24783533,903,884,0,1
24885683,903,901,0,1
24987530,919,903,0,1
25089533,921,904,0,1
25191536,922,904,0,1
25293543,922,904,0,1
25395531,922,904,0,1
25497530,922,907,0,1
25599533,925,908,0,1
25701545,926,908,0,1
25803768,927,908,0,1
25905531,927,925,0,1
26007531,943,927,0,1
26109540,945,928,0,1
26211530,946,928,0,1
26313531,946,928,0,1
26415551,946,928,0,1
26517531,946,932,0,1
26619533,950,932,0,1
26721530,950,932,0,1
26823542,951,949,0,1
26926035,967,949,0,1
27027573,967,952,0,1
27129533,970,952,0,1
27231531,970,952,0,1
27333531,970,952,0,1
27435531,970,952,0,1
27537647,970,956,0,1
27639533,974,956,0,1
27741532,974,956,0,1
27843606,975,973,0,1
27945531,991,973,0,1
28047735,991,976,0,1
28149533,994,976,0,1
28251531,994,976,0,1
28353531,994,976,0,1
28455544,994,976,0,1
28557531,994,979,0,1
28659555,997,980,0,1
28761531,998,980,0,1
28863534,999,997,0,1
28965531,1015,997,0,1
29067531,1015,1000,0,1
29169535,1018,1000,0,1
29271531,1018,1000,0,1
29373544,1018,1000,0,1
29475531,1018,1000,0,1
29577530,1018,1003,0,1
29679533,1021,1004,0,1
29781531,1023,1004,0,1
29883531,1023,1021,0,1
29985538,1039,1021,0,1
30087877,1039,1024,0,1
30189553,1042,1024,0,1
30291530,1042,1024,0,1
30393531,1042,1024,0,1
30495543,1042,1024,0,1
30597531,1042,1027,0,1
30699533,1045,1027,0,1
30801530,1046,1028,0,1
30903531,1047,1045,0,1
31005909,1063,1045,0,1
31107531,1063,1047,0,1
31209546,1065,1048,0,1
31311531,1066,1048,0,1
31413537,1066,1048,0,1
31515531,1066,1048,0,1
31617531,1066,1051,0,1
31719533,1069,1052,0,1
31821531,1071,1069,0,1
31923531,1087,1069,0,1
32025530,1087,1073,0,1
32127531,1091,1073,0,1
32229579,1091,1073,0,1
32331531,1091,1073,0,1
32433794,1091,1073,0,1
32535544,1091,1076,0,1
32637532,1094,1076,0,1
32739533,1094,1076,0,1
32841531,1095,1094,0,1
32943531,1112,1094,0,1
33045531,1112,1097,0,1
33147537,1115,1097,0,1
33249920,1115,1097,0,1
33351531,1115,1097,0,1
33453531,1115,1097,0,1
33555531,1115,1100,0,1
33657531,1118,1100,0,1
33759536,1118,1100,0,1
33861531,1119,1118,0,1
33963531,1136,1118,0,1
34065531,1136,1121,0,1
34167922,1139,1121,0,1
34269548,1139,1121,0,1
34371549,1139,1121,0,1
34473531,1139,1121,0,1
34575544,1139,1124,0,1
34677534,1142,1124,0,1
34779546,1143,1124,0,1
34881531,1143,1141,0,1
34983531,1159,1142,0,1
35085531,1160,1144,0,1
35187530,1162,1145,0,1
35289533,1163,1145,0,1
35391635,1163,1145,0,1
35493537,1163,1145,0,1
35595531,1163,1147,0,1
35697531,1165,1148,0,1
35799532,1167,1148,0,1
35901548,1167,1165,0,1
36003531,1183,1166,0,1
36105531,1184,1168,0,1
36207531,1186,1169,0,1
36309539,1187,1169,0,1
36411971,1187,1169,0,1
36513531,1187,1169,0,1
36615590,1187,1172,0,1
36717531,1190,1172,0,1
36819533,1191,1189,0,1
36921531,1207,1189,0,1
37023531,1207,1190,0,1
37125531,1208,1193,0,1
37227530,1211,1193,0,1
37329653,1211,1193,0,1
37431530,1211,1193,0,1
37533531,1211,1193,0,1
37635531,1211,1196,0,1
37737531,1214,1196,0,1
37839560,1215,1213,0,1
37941531,1231,1213,0,1
38043531,1231,1213,0,1
38145531,1231,1217,0,1
38247532,1235,1217,0,1
38349533,1235,1217,0,1
38451589,1235,1217,0,1
38553550,1235,1217,0,1
38655544,1235,1220,0,1
38757532,1238,1220,0,1
38859556,1239,1237,0,1
38961531,1255,1237,0,1
39063531,1255,1239,0,1
39165531,1257,1240,0,1
39267531,1258,1241,0,1
39369533,1259,1241,0,1
39471531,1259,1241,0,1
39574103,1259,1241,0,1
39675531,1259,1244,0,1
39777531,1263,1244,0,1
39879533,1263,1261,0,1
39981531,1279,1261,0,1
40083531,1279,1261,0,1
40185531,1279,1264,0,1
40287539,1282,1264,0,1
40389533,1282,1265,0,1
40491718,1283,1265,0,1
40593572,1283,1265,0,1
40695531,1283,1268,0,1
40797714,1287,1268,0,1
40899533,1287,1285,0,1
41001530,1303,1285,0,1
41103530,1303,1285,0,1
41205530,1303,1288,0,1
41307531,1306,1288,0,1
41409545,1306,1289,0,1
41511539,1307,1289,0,1
41613649,1307,1292,0,1
41715531,1310,1292,0,1
41817531,1311,1309,0,1
41919533,1327,1309,0,1
42021531,1327,1309,0,1
42123531,1327,1312,0,1
42225530,1330,1312,0,1
42327531,1330,1312,0,1
42429533,1330,1313,0,1
42531688,1331,1313,0,1
42633531,1331,1316,0,1
42735556,1334,1316,0,1
42837532,1335,1333,0,1
42939534,1351,1333,0,1
43041536,1351,1333,0,1
43143531,1351,1336,0,1
43245645,1354,1336,0,1
43347532,1354,1336,0,1
43449533,1354,1337,0,1
43551530,1355,1337,0,1
43653822,1355,1337,0,1
43755633,1355,1340,0,1
43857531,1359,1357,0,1
43959536,1375,1357,0,1
44061531,1375,1357,0,1
44163531,1375,1359,0,1
44265532,1377,1360,0,1
44367549,1378,1360,0,1
44469533,1378,1360,0,1
44571531,1378,1361,0,1
44673531,1379,1363,0,1
44775729,1382,1364,0,1
44877531,1383,1381,0,1
44979533,1399,1381,0,1
45081531,1399,1381,0,1
45183530,1399,1383,0,1
45285531,1401,1384,0,1
45387549,1402,1384,0,1
45489533,1402,1384,0,1
45591531,1402,1385,0,1
45693531,1403,1387,0,1
45795530,1406,1388,0,1
45897534,1407,1405,0,1
