timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,termination_switch,gear_switch,transition_switch,photo_switch,video_switch,engage_main_motor_switch,payload_power_switch
19879952,19856682,5,4,1,0,0,0,0,0,0,0,0,0,0,0
20900012,20876516,5,4,1,0,0,0,0,0,0,0,0,0,0,0
21919793,21896386,5,4,1,0,0,0,0,0,0,0,0,0,0,0
22934734,22911343,5,4,1,0,0,0,0,0,0,0,0,0,0,0
23952169,23928768,5,4,1,0,0,0,0,0,0,0,0,0,0,0
24969654,24946227,5,4,1,0,0,0,0,0,0,0,0,0,0,0
25972104,25948687,5,4,1,0,0,0,0,0,0,0,0,0,0,0
26979586,26956153,5,4,1,0,0,0,0,0,0,0,0,0,0,0
27997093,27973609,5,4,1,0,0,0,0,0,0,0,0,0,0,0
29014570,28993584,5,4,1,0,0,0,0,0,0,0,0,0,0,0
30034424,30011059,5,4,1,0,0,0,0,0,0,0,0,0,0,0
31036907,31013467,5,4,1,0,0,0,0,0,0,0,0,0,0,0
32041949,32018479,5,4,1,0,0,0,0,0,0,0,0,0,0,0
33059339,33035899,5,4,1,0,0,0,0,0,0,0,0,0,0,0
34079254,34055851,5,4,1,0,0,0,0,0,0,0,0,0,0,0
35096740,35073264,5,4,1,0,0,0,0,0,0,0,0,0,0,0
36116587,36093216,5,4,1,0,0,0,0,0,0,0,0,0,0,0
37121613,37098205,5,4,1,0,0,0,0,0,0,0,0,0,0,0
38124063,38100643,5,4,1,0,0,0,0,0,0,0,0,0,0,0
39141534,39118132,5,4,1,0,0,0,0,0,0,0,0,0,0,0
40154207,40133077,5,4,1,0,0,0,0,0,0,0,0,0,0,0
41173940,41150672,5,4,1,0,0,0,0,0,0,0,0,0,0,0
42191533,42170447,5,4,1,0,0,0,0,0,0,0,0,0,0,0
43211350,43187966,5,4,1,0,0,0,0,0,0,0,0,0,0,0
44223804,44200332,5,4,1,0,0,0,0,0,0,0,0,0,0,0
45243689,45220275,5,4,1,0,0,0,0,0,0,0,0,0,0,0
46261202,46237751,5,4,1,0,0,0,0,0,0,0,0,0,0,0
47276101,47252719,5,4,1,0,0,0,0,0,0,0,0,0,0,0
48293669,48272629,5,4,1,0,0,0,0,0,0,0,0,0,0,0
49308703,49287579,5,4,1,0,0,0,0,0,0,0,0,0,0,0
50328426,50305166,5,4,1,0,0,0,0,0,0,0,0,0,0,0
51343402,51320021,5,4,1,0,0,0,0,0,0,0,0,0,0,0
52363451,52339943,5,4,1,0,0,0,0,0,0,0,0,0,0,0
53380873,53359864,5,4,1,0,0,0,0,0,0,0,0,0,0,0
54395776,54372326,5,4,1,0,0,0,0,0,0,0,0,0,0,0
55395791,55372320,5,4,1,0,0,0,0,0,0,0,0,0,0,0
56413190,56389741,5,4,1,0,0,0,0,0,0,0,0,0,0,0
57433249,57409682,5,4,1,0,0,0,0,0,0,0,0,0,0,0
58435598,58412168,5,4,1,0,0,0,0,0,0,0,0,0,0,0
59438080,59414638,5,4,1,0,0,0,0,0,0,0,0,0,0,0
60455623,60434586,5,4,1,0,0,0,0,0,0,0,0,0,0,0
61475425,61452081,5,4,1,0,0,0,0,0,0,0,0,0,0,0
62477953,62454488,5,4,1,0,0,0,0,0,0,0,0,0,0,0
63480371,63457001,5,4,1,0,0,0,0,0,0,0,0,0,0,0
64500424,64476935,5,4,1,0,0,0,0,0,0,0,0,0,0,0
65517740,65494446,5,4,1,0,0,0,0,0,0,0,0,0,0,0
66532715,66509281,5,4,1,0,0,0,0,0,0,0,0,0,0,0
67555118,67531732,5,4,1,0,0,0,0,0,0,0,0,0,0,0
68557580,68534176,5,4,1,0,0,0,0,0,0,0,0,0,0,0
69558456,69535165,5,4,1,0,0,0,0,0,0,0,0,0,0,0
70577810,70554678,5,4,1,0,0,0,0,0,0,0,0,0,0,0
71599928,71576746,5,4,1,0,0,0,0,0,0,0,0,0,0,0
72619574,72596380,5,4,1,0,0,0,0,0,0,0,0,0,0,0
73641722,73618433,5,4,1,0,0,0,0,0,0,0,0,0,0,0
74661176,74638063,5,4,1,0,0,0,0,0,0,0,0,0,0,0
75663569,75640431,5,4,1,0,0,0,0,0,0,0,0,0,0,0
76685647,76662485,5,4,1,0,0,0,0,0,0,0,0,0,0,0
