timestamp,nav_state,failure
19494489,15,0
20033388,15,0
20542220,15,0
21050796,15,0
21559515,15,0
22108091,15,0
22616866,15,0
23125409,15,0
23683999,15,0
24232782,15,0
24741330,15,0
25250087,15,0
25798844,15,0
26307370,15,0
26816337,15,0
27325166,15,0
27873434,15,0
28382315,15,0
28890952,15,0
29439579,15,0
29948204,15,0
30456971,15,0
30965997,15,0
31514463,15,0
32023273,15,0
32531727,15,0
33040522,15,0
33549440,15,0
34097811,15,0
34606493,15,0
35115449,15,0
35624259,15,0
36172719,15,0
36681290,15,0
37190018,15,0
37698937,15,0
38247366,15,0
38756240,15,0
39264815,15,0
39813430,15,0
40322464,15,0
40831148,15,0
41339894,15,0
41888280,15,0
42396999,15,0
42905983,15,0
43414507,15,0
43963055,15,0
44471854,15,0
44980459,15,0
45489191,15,0
46037856,15,0
46546541,15,0
47055264,15,0
47604015,15,0
48112850,15,0
48621329,15,0
49130332,15,0
49678820,15,0
50207378,15,0
50716126,15,0
51225040,15,0
51763475,15,0
52272318,15,0
52820821,15,0
53329940,15,0
53838344,15,0
54346995,15,0
54895839,15,0
55404345,15,0
55913222,15,0
56418870,15,0
56920505,15,0
57429484,15,0
57936736,15,0
58436928,15,0
58945401,15,0
59454344,15,0
59960739,15,0
60461907,15,0
60970408,15,0
61479098,15,0
61985024,15,0
62486492,15,0
62995281,15,0
63504098,15,0
64009824,15,0
64511405,15,0
65020550,15,0
65528955,15,0
66034810,15,0
66536382,15,0
67045104,15,0
67552739,15,0
68058747,15,0
68561487,15,0
69069934,15,0
69574160,15,0
70082736,15,0
70588878,15,0
71091145,15,0
71600768,15,0
72107750,15,0
72608385,15,0
73119734,15,0
73623353,15,0
74131780,15,0
74637870,15,0
75140066,15,0
75649756,15,0
76155739,15,0
76657270,15,0
77167754,15,0
77671923,15,0
78174314,15,0
78685739,15,0
79189063,15,0
79697735,15,0
80203758,15,0
80706020,15,0
81215736,15,0
81721890,15,0
82223311,15,0
82733740,15,0
83239872,15,0
83740350,15,0
84251753,15,0
84754996,15,0
85263816,15,0
85769748,15,0
86272121,15,0
86781747,15,0
87287739,15,0
87789016,15,0
88299735,15,0
88803797,15,0
89306177,15,0
89817750,15,0
90320953,15,0
90829735,15,0
91335738,15,0
91837918,15,0
92347864,15,0
92853737,15,0
93355024,15,0
93865740,15,0
94369690,15,0
94878737,15,0
95384735,15,0
95886939,15,0
96396740,15,0
96902734,15,0
97403873,15,0
97916139,15,0
98418560,15,0
98928153,15,0
99433865,15,0
99935880,15,0
100445734,15,0
100951803,15,0
101452767,15,0
101964972,15,0
102467275,15,0
102976789,15,0
103482738,15,0
103984420,15,0
104494849,15,0
105000736,15,0
105501435,15,0
106012742,15,0
106516263,15,0
107024734,15,0
107531746,15,0
108033426,15,0
