timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
19897850,19872939,4028193,46.76906,100764.516,6.863703,1.2534157,2,2
19951880,19929659,4028193,46.6845,100765.516,6.863703,1.2534281,2,2
20124792,20102581,4028193,46.663364,100765.766,6.863703,1.2534313,2,2
20297687,20275438,4028193,46.518036,100767.516,6.863703,1.253453,2,2
20524635,20505108,4028193,46.872105,100763.266,6.863703,1.2534001,2,2
20697496,20677988,4028193,46.850967,100763.516,6.863703,1.2534033,2,2
20935248,20910341,4028193,46.6845,100765.516,6.863703,1.2534281,2,2
21108157,21083238,4028193,46.539177,100767.266,6.863703,1.2534499,2,2
21335061,21312835,4028193,46.790195,100764.266,6.863703,1.2534126,2,2
21507951,21485752,4028193,46.95666,100762.266,6.863703,1.2533877,2,2
21734796,21715299,4028193,46.893246,100763.016,6.863703,1.2533971,2,2
21907541,21888047,4028193,46.72678,100765.016,6.765999,1.2538595,2,2
22145162,22120249,4028193,46.539177,100767.266,6.863703,1.2534499,2,2
22317919,22293015,4028193,46.76906,100764.516,6.863703,1.2534157,2,2
22544769,22522567,4028193,46.6845,100765.516,6.863703,1.2534281,2,2
22717654,22695445,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
22944598,22925071,4028193,46.288155,100770.266,6.863703,1.2534872,2,2
23117500,23097906,4028193,46.412342,100768.766,6.863703,1.2534685,2,2
23290328,23270816,4028193,46.560314,100767.016,6.863703,1.2534468,2,2
23527968,23503067,4028193,46.663364,100765.766,6.863703,1.2534313,2,2
23700752,23675838,4028193,46.4969,100767.766,6.863703,1.2534561,2,2
23927716,23905507,4028193,46.539177,100767.266,6.863703,1.2534499,2,2
24100616,24078371,4028193,46.391205,100769.016,6.863703,1.2534717,2,2
24327560,24308052,4028193,46.4969,100767.766,6.863703,1.2534561,2,2
24500417,24480911,4028193,46.391205,100769.016,6.863703,1.2534717,2,2
24738197,24713263,4028193,46.267017,100770.516,6.863703,1.2534903,2,2
24911128,24886214,4028193,46.6845,100765.516,6.863703,1.2534281,2,2
25137990,25115794,4028193,46.621086,100766.266,6.863703,1.2534375,2,2
25310864,25288664,4028193,46.4969,100767.766,6.863703,1.2534561,2,2
25537810,25518296,4028193,46.663364,100765.766,6.863703,1.2534313,2,2
25710629,25691122,4028193,46.560314,100767.016,6.863703,1.2534468,2,2
25948206,25923264,4028193,46.59995,100766.516,6.863703,1.2534405,2,2
26120969,26096078,4028193,46.539177,100767.266,6.863703,1.2534499,2,2
26347826,26325612,4028193,46.372707,100769.266,6.863703,1.2534748,2,2
26520643,26498433,4028193,46.621086,100766.266,6.863703,1.2534375,2,2
26693501,26671268,4028193,46.330433,100769.766,6.863703,1.253481,2,2
26920452,26900904,4028193,46.621086,100766.266,6.863703,1.2534375,2,2
27093200,27073705,4028193,46.372707,100769.266,6.863703,1.2534748,2,2
27330794,27305886,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
27503720,27478821,4028193,46.475758,100768.016,6.863703,1.2534593,2,2
27730611,27708405,4028193,46.59995,100766.516,6.863703,1.2534405,2,2
27903605,27881377,4028193,46.267017,100770.516,6.863703,1.2534903,2,2
28130435,28110926,4028193,46.433483,100768.516,6.863703,1.2534655,2,2
28303183,28283691,4028193,46.412342,100768.766,6.863703,1.2534685,2,2
28540763,28515867,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
28713565,28688662,4028193,46.539177,100767.266,6.863703,1.2534499,2,2
28940357,28918160,4028193,46.518036,100767.516,6.863703,1.253453,2,2
29113236,29091028,4028193,46.560314,100767.016,6.863703,1.2534468,2,2
29340061,29320560,4028193,46.140182,100772.016,6.863703,1.253509,2,2
29512842,29493333,4028193,46.45462,100768.266,6.863703,1.2534623,2,2
29685700,29666187,4028193,46.539177,100767.266,6.863703,1.2534499,2,2
29923469,29898534,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
30096344,30071426,4028193,46.267017,100770.516,6.863703,1.2534903,2,2
30323292,30301063,4028193,46.22474,100771.016,6.863703,1.2534965,2,2
30496226,30473999,4028193,46.412342,100768.766,6.863703,1.2534685,2,2
30723118,30703605,4028193,46.412342,100768.766,6.863703,1.2534685,2,2
30896026,30876491,4028193,46.790195,100764.266,6.863703,1.2534126,2,2
31133753,31108848,4028193,46.539177,100767.266,6.863703,1.2534499,2,2
31306629,31281705,4028193,46.4969,100767.766,6.863703,1.2534561,2,2
31533581,31511382,4028193,46.45462,100768.266,6.863703,1.2534623,2,2
31706414,31684184,4028193,46.372707,100769.266,6.863703,1.2534748,2,2
31933236,31913736,4028193,46.330433,100769.766,6.863703,1.253481,2,2
32106025,32086511,4028193,46.560314,100767.016,6.863703,1.2534468,2,2
32343592,32318703,4028193,46.433483,100768.516,6.863703,1.2534655,2,2
32516365,32491468,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
32743297,32721056,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
32916188,32893953,4028193,46.391205,100769.016,6.863703,1.2534717,2,2
33143001,33123494,4028193,46.288155,100770.266,6.863703,1.2534872,2,2
33315753,33296254,4028193,46.288155,100770.266,6.863703,1.2534872,2,2
33488639,33469143,4028193,46.45462,100768.266,6.863703,1.2534623,2,2
33726408,33701481,4028193,46.245876,100770.766,6.863703,1.2534934,2,2
33899329,33874382,4028193,46.412342,100768.766,6.863703,1.2534685,2,2
34126218,34104021,4028193,46.412342,100768.766,6.863703,1.2534685,2,2
34299123,34276904,4028193,46.412342,100768.766,6.863703,1.2534685,2,2
34526068,34506565,4028193,46.330433,100769.766,6.863703,1.253481,2,2
34698953,34679433,4028193,46.245876,100770.766,6.863703,1.2534934,2,2
34936787,34911849,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
35109632,35084707,4028193,46.433483,100768.516,6.863703,1.2534655,2,2
35336569,35314339,4028193,46.4969,100767.766,6.863703,1.2534561,2,2
35509458,35487218,4028193,46.663364,100765.766,6.863703,1.2534313,2,2
35736382,35716871,4028193,46.433483,100768.516,6.863703,1.2534655,2,2
35909255,35889731,4028193,46.518036,100767.516,6.863703,1.253453,2,2
36147037,36122138,4028193,46.22474,100771.016,6.863703,1.2534965,2,2
36319987,36295019,4028193,46.539177,100767.266,6.765999,1.2538875,2,2
36546846,36524626,4028193,46.267017,100770.516,6.863703,1.2534903,2,2
36719742,36697522,4028193,46.433483,100768.516,6.863703,1.2534655,2,2
36892585,36870380,4028193,46.45462,100768.266,6.863703,1.2534623,2,2
37119559,37100056,4028193,46.309296,100770.016,6.863703,1.2534841,2,2
37292442,37272916,4028193,46.18246,100771.516,6.863703,1.2535027,2,2
37530202,37505255,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
37703050,37678142,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
37929989,37907779,4028193,46.267017,100770.516,6.863703,1.2534903,2,2
38102985,38080724,4028193,46.288155,100770.266,6.863703,1.2534872,2,2
38329875,38310362,4028193,46.309296,100770.016,6.863703,1.2534841,2,2
38502738,38483227,4028193,46.18246,100771.516,6.863703,1.2535027,2,2
38740449,38715539,4028193,46.372707,100769.266,6.863703,1.2534748,2,2
38913391,38888456,4028193,46.245876,100770.766,6.863703,1.2534934,2,2
39140329,39118083,4028193,45.9103,100774.766,6.863703,1.2535433,2,2
39313195,39290997,4028193,46.097908,100772.516,6.863703,1.2535152,2,2
39540156,39520657,4028193,46.18246,100771.516,6.863703,1.2535027,2,2
39713038,39693540,4028193,45.9103,100774.766,6.863703,1.2535433,2,2
39885942,39866416,4028193,45.994858,100773.766,6.863703,1.2535307,2,2
40123684,40098739,4028193,46.288155,100770.266,6.863703,1.2534872,2,2
40296576,40271671,4028193,46.058273,100773.016,6.863703,1.2535214,2,2
40523475,40501261,4028193,46.348927,100769.516,6.863703,1.2534779,2,2
40696394,40674160,4028193,46.330433,100769.766,6.863703,1.253481,2,2
40923362,40903838,4028193,46.058273,100773.016,6.863703,1.2535214,2,2
41096239,41076710,4028193,46.140182,100772.016,6.863703,1.253509,2,2
41333982,41309082,4028193,46.161324,100771.766,6.863703,1.253506,2,2
41506862,41481934,4028193,46.058273,100773.016,6.863703,1.2535214,2,2
41733805,41711576,4028193,46.22474,100771.016,6.863703,1.2534965,2,2
41906712,41884462,4028193,46.079407,100772.766,6.863703,1.2535183,2,2
42133631,42114112,4028193,46.161324,100771.766,6.863703,1.253506,2,2
42306555,42287051,4028193,46.245876,100770.766,6.765999,1.253931,2,2
42544256,42519354,4028193,46.330433,100769.766,6.765999,1.2539185,2,2
42717160,42692235,4028193,46.309296,100770.016,6.863703,1.2534841,2,2
42944085,42921870,4028193,46.245876,100770.766,6.863703,1.2534934,2,2
43116963,43094766,4028193,46.2036,100771.266,6.863703,1.2534996,2,2
43343970,43324443,4028193,46.2036,100771.266,6.863703,1.2534996,2,2
43516822,43497295,4028193,46.372707,100769.266,6.765999,1.2539123,2,2
43689714,43670209,4028193,46.391205,100769.016,6.765999,1.2539093,2,2
43927422,43902525,4028193,46.140182,100772.016,6.863703,1.253509,2,2
44100354,44075431,4028193,46.18246,100771.516,6.765999,1.2539403,2,2
44327293,44305056,4028193,46.267017,100770.516,6.863703,1.2534903,2,2
44500223,44478001,4028193,46.288155,100770.266,6.863703,1.2534872,2,2
44727126,44707609,4028193,46.372707,100769.266,6.863703,1.2534748,2,2
44900060,44880553,4028193,46.267017,100770.516,6.765999,1.253928,2,2
45137800,45112874,4028193,46.22474,100771.016,6.863703,1.2534965,2,2
45310614,45285722,4028193,46.015995,100773.516,6.863703,1.2535276,2,2
45537603,45515388,4028193,46.22474,100771.016,6.863703,1.2534965,2,2
45710484,45688277,4028193,46.309296,100770.016,6.863703,1.2534841,2,2
45937394,45917897,4028193,46.348927,100769.516,6.765999,1.2539155,2,2
46110342,46090825,4028193,46.2036,100771.266,6.863703,1.2534996,2,2
46283221,46263707,4028193,46.161324,100771.766,6.863703,1.253506,2,2
46520984,46496074,4028193,46.372707,100769.266,6.863703,1.2534748,2,2
46693881,46668957,4028193,46.18246,100771.516,6.863703,1.2535027,2,2
46920793,46898581,4028193,46.245876,100770.766,6.863703,1.2534934,2,2
47147709,47128180,4028193,46.18246,100771.516,6.863703,1.2535027,2,2
47320610,47301103,4028193,45.973717,100774.016,6.863703,1.2535338,2,2
47493583,47474064,4028193,46.288155,100770.266,6.765999,1.2539247,2,2
47731241,47706332,4028193,46.097908,100772.516,6.863703,1.2535152,2,2
47904170,47879265,4028193,45.87067,100775.266,6.863703,1.2535495,2,2
48131080,48108881,4028193,46.058273,100773.016,6.765999,1.2539591,2,2
48303974,48281748,4028193,45.9103,100774.766,6.765999,1.2539809,2,2
48530923,48511415,4028193,46.45462,100768.266,6.765999,1.2538999,2,2
48703833,48684310,4028193,46.267017,100770.516,6.863703,1.2534903,2,2
48941532,48916625,4028193,46.412342,100768.766,6.765999,1.2539061,2,2
