timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
20290744,20289783,527633,0.4701836,0.099300645,0.23709859,3
20870751,20869769,527633,0.5470652,0.08769333,0.14239207,3
21290736,21289771,527633,0.5450516,0.0515362,0.1268159,3
21850797,21849769,527633,0.56380785,0.1289158,0.010477763,3
22390761,22339772,527633,0.5547862,0.036218353,-0.050836142,3
22830740,22829770,527633,0.5392893,0.055552803,0.14010099,3
23390743,23389769,527633,0.5049759,0.17396761,0.15789644,3
23810789,23809770,527633,0.4976428,0.18501586,0.16565463,3
24330744,24309773,527633,0.44721526,0.17472057,0.28779602,3
24890761,24869775,527633,0.43734986,0.18043599,0.292904,3
25390754,25359772,527633,0.4331318,0.19829538,0.29210335,3
25870732,25849771,527633,0.4199232,0.1893783,0.31113648,3
26370731,26339773,527633,0.41363758,0.16773723,0.33182696,3
26850755,26829771,527633,0.4178469,0.16610119,0.33843118,3
27390742,27336440,527633,0.4218789,0.18056023,0.323241,3
27850739,27849779,527633,0.42175278,0.18286352,0.33218518,3
28390729,28339769,527633,0.4222085,0.19878462,0.3240459,3
28830749,28829779,527633,0.41973028,0.18440986,0.312924,3
29390748,29389781,527633,0.4188226,0.1775167,0.3186337,3
29810758,29809780,527633,0.41353476,0.18555945,0.31891492,3
30370740,30369780,527633,0.42266023,0.18815248,0.31473017,3
30850730,30849770,527633,0.40969837,0.21281606,0.31346256,3
31390734,31349771,527633,0.43657094,0.19475536,0.28852704,3
31850731,31839770,527633,0.4700126,0.1998144,0.23385224,3
32370730,32329771,527633,0.4560255,0.22188763,0.23677436,3
32830730,32819769,527633,0.45979106,0.1927431,0.24886769,3
33390738,33379771,527633,0.4496346,0.17428836,0.278594,3
33810731,33799771,527633,0.4374277,0.17632556,0.3043779,3
34350741,34319773,527633,0.45218518,0.18169077,0.2838042,3
34830731,34809770,527633,0.4552474,0.18803208,0.26055047,3
35390741,35369770,527633,0.44333908,0.17382559,0.29444632,3
35890731,35859771,527633,0.42482352,0.18649274,0.30691528,3
36370734,36349780,527633,0.42756492,0.18206155,0.3078484,3
36870746,36839772,527633,0.4207474,0.18269108,0.31144506,3
37370743,37369781,527633,0.4204973,0.17839661,0.3100137,3
37790741,37789781,527633,0.4280423,0.1493832,0.31005743,3
38350746,38349779,527633,0.3864489,0.16982019,0.3583228,3
38890729,38839770,527633,0.39717072,0.17174202,0.3406946,3
39330743,39329781,527633,0.31476757,0.15669969,0.39035022,3
39890739,39889779,527633,0.32124704,0.14500523,0.3967242,3
40310777,40309811,527633,0.3626214,0.14756474,0.38293266,3
40790742,40789769,527633,0.3636542,0.12734678,0.37803313,3
41350731,41349771,527633,0.39041305,0.19099711,0.34400156,3
41890730,41839771,527633,0.41298074,0.20193723,0.2977596,3
42330734,42329769,527633,0.39011988,0.19630402,0.29926783,3
42890743,42889770,527633,0.37096024,0.18309948,0.30568454,3
43310742,43309771,527633,0.40819898,0.19282524,0.34696302,3
43890731,43845771,527633,0.39154693,0.19220236,0.31139812,3
44350730,44339769,527633,0.42873764,0.1951493,0.30714113,3
44870751,44829772,527633,0.43736863,0.198379,0.2777458,3
45330730,45319770,527633,0.438564,0.09072593,0.32102868,3
45890763,45879792,527633,0.4047082,0.17350638,0.3330003,3
46310736,46299769,527633,0.38804054,0.14662942,0.37412602,3
46810729,46809769,527633,0.3837431,0.14830737,0.35720742,3
47390736,47379783,527633,0.3325867,0.19907627,0.38133073,3
47810737,47799770,527633,0.31097412,0.17218935,0.41230598,3
48370749,48359778,527633,0.32472253,0.18025824,0.39489555,3
48890734,48849775,527633,0.31697124,0.126316,0.41624543,3
49350742,49339771,527633,0.26760453,0.12107513,0.45040697,3
49870741,49829776,527633,0.23164688,0.07775119,0.47833037,3
50390749,50359777,527633,0.109404035,0.1636667,0.49028066,3
50870747,50849774,527633,0.17182682,0.1474199,0.4776646,3
51370749,51339774,527633,0.20175427,0.1486165,0.46283174,3
51830732,51829771,527633,0.25156954,0.16560832,0.4332332,3
52390733,52389771,527633,0.29213127,0.13191362,0.43029442,3
52810738,52809773,527633,0.26716882,0.12020563,0.45965835,3
53310741,53309771,527633,0.29233465,0.0758752,0.4511746,3
53890742,53879780,527633,0.22080964,-0.060152676,0.47538087,3
54310749,54299776,527633,0.14312282,-0.074894734,0.504496,3
54884907,54883941,527633,0.23244977,-0.07281158,0.47831562,3
