timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
19945415,0.0,0.0,0.0
19947912,0.0,0.0,0.0
20144907,0.0,0.0,0.0
20346901,0.0,0.0,0.0
20546414,0.0,0.0,0.0
20745897,0.0,0.0,0.0
20945390,0.0,0.0,0.0
21144886,0.0,0.0,0.0
21344384,0.0,0.0,0.0
21543888,0.0,0.0,0.0
21748366,0.0,0.0,0.0
21940386,0.0,0.0,0.0
22147362,0.0,0.0,0.0
22346863,0.0011041538,0.008833975,0.0044007227
22546359,0.0035158684,0.0097257225,0.011071061
22745859,0.0042022746,0.010759951,0.015508429
22945355,-0.00038628865,0.033768065,0.016905516
23147346,-0.008856607,0.047340173,0.020134598
23346858,-0.020827241,0.067849495,0.032896753
23546341,-0.035050016,0.092812404,0.03837262
23745840,-0.04621988,0.11105293,0.037188265
23945339,-0.054423667,0.11403721,0.04197878
24144835,-0.06271542,0.124640346,0.044006355
24344336,-0.07208594,0.14394866,0.042683233
24548819,0.0,0.0,0.0
24748316,0.0,0.0,0.0
24947816,0.0,0.0,0.0
25147330,0.0,0.0,0.0
25346811,0.0,0.0,0.0
25546310,0.0,0.0,0.0
25745810,0.0,0.0,0.0
25947804,0.0,0.0,0.0
26147300,0.0,0.0,0.0
26346832,0.0,0.0,0.0
26546296,0.0,0.0,0.0
26745795,0.0,0.0,0.0
26945292,0.0,0.0,0.0
27144791,0.0,0.0,0.0
27349282,0.0,0.0,0.0
27548781,0.0,0.0,0.0
27748279,0.0,0.0,0.0
27947775,0.0,0.0,0.0
28147273,0.0,0.0,0.0
28346771,0.0,0.0,0.0
28546273,0.0,0.0,0.0
28748257,0.0,0.0,0.0
28947759,0.0,0.0,0.0
29147256,0.0,0.0,0.0
29346753,0.0,0.0,0.0
29546251,0.0,0.0,0.0
29745751,0.0,0.0,0.0
29945263,0.0,0.0,0.0
30147243,0.0,0.0,0.0
30346741,0.0,0.0,0.0
30546237,0.0,0.0,0.0
30745736,0.0,0.0,0.0
30945237,0.0,0.0,0.0
31144734,0.0,0.0,0.0
31344234,0.0,0.0,0.0
31548773,0.0,0.0,0.0
31748233,0.0,0.0,0.0
31947716,0.0,0.0,0.0
32147213,0.0,0.0,0.0
32346715,0.0,0.0,0.0
32546210,0.0,0.0,0.0
32745713,0.0,0.0,0.0
32947702,0.0,0.0,0.0
33147200,0.0,0.0,0.0
33346702,0.0,0.0,0.0
