timestamp,compression_gains[0],compression_gains[1],compression_gains[2],spectral_damper_hpf[0],spectral_damper_hpf[1],spectral_damper_hpf[2],spectral_damper_out[0],spectral_damper_out[1],spectral_damper_out[2]
19878093,0.9999197,0.9996639,0.9999863,0.00021987352,0.0006488784,4.6007935e-05,0.000229979,0.0009625813,3.9202787e-05
19980321,0.999865,0.9999534,0.9999654,0.0006196042,0.00012461525,0.00011917726,0.00038660606,0.0001335285,9.906885e-05
20082583,0.9997362,0.9996077,0.99997544,0.0005182399,0.0016105862,0.00013068975,0.0007554781,0.0011235204,7.0380105e-05
20184808,0.9999663,0.99926704,0.9999656,3.6704594e-05,0.0017778386,0.00021013667,9.641458e-05,0.0020991196,9.843412e-05
20287062,0.9998699,0.99954504,0.99990565,0.00052816083,0.0009775099,0.0002728745,0.00037263002,0.0013029602,0.0002702013
20389289,0.9998009,0.9999491,0.9999673,0.00065249094,3.4905072e-06,2.8112368e-05,0.0005701434,0.00014577062,9.3759765e-05
20491534,0.99986243,0.99993473,0.99992335,0.00038189572,0.0002672981,0.00021627678,0.0003940701,0.00018696752,0.00021956138
20593780,0.99983567,0.99995244,0.99993527,0.00060288404,0.00011803914,0.00015964983,0.00047020774,0.00013616703,0.00018532388
20696021,0.99986184,0.99995947,0.99998915,0.0001884122,0.0001233294,1.0276915e-07,0.0003956601,0.000116049865,3.111178e-05
20798264,0.9999539,0.9999642,0.99998766,0.0002621726,0.000111778674,2.7592441e-05,0.00013193586,0.00010257934,3.5290508e-05
20900501,0.9998008,0.99994004,0.9999634,0.00016142553,0.00022295893,0.00019940147,0.000570709,0.00017185693,0.00010479036
21002742,0.9999029,0.9999887,0.9999357,0.00025240795,2.7677414e-05,0.000105013634,0.00027812266,3.243312e-05,0.00018424077
21104987,0.9999711,0.9999811,0.9999937,0.00013561259,6.403202e-05,3.980027e-06,8.27946e-05,5.421771e-05,1.8033092e-05
21207228,0.99991477,0.9999572,0.9999882,0.00030824286,9.646981e-05,4.4409782e-05,0.00024411504,0.00012256484,3.377165e-05
21309470,0.99990094,0.9999737,0.99995154,0.00019874536,6.441107e-05,0.00018124901,0.00028373697,7.522782e-05,0.00013874997
21411720,0.99997395,0.99999547,0.9999001,1.8954994e-05,4.985219e-06,0.0002973033,7.4551106e-05,1.3038757e-05,0.00028618283
21513957,0.99999475,0.99995977,0.9999002,2.120315e-05,0.00018542058,0.00034934707,1.4962953e-05,0.00011515495,0.00028572005
21616214,0.99985385,0.99998844,0.99996656,0.0005640723,4.7565623e-05,0.00012619533,0.00041849524,3.3064072e-05,9.5846866e-05
21718459,0.9998391,0.9998702,0.9996788,8.828282e-05,0.0007613399,0.0013129186,0.00046091335,0.00037200807,0.0009203243
