timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
20217970,20030389,-0.19550525,0.395963,-0.07544676,-3448320.0,-13046374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28702584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10362688,0.0730191,-0.059563756,0.0,0.0,2.8182034,0.0,0.0,0.0
20720553,20532811,0.09171394,0.61934173,0.1441165,-3448320.0,-13046374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047947392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077497065,0.002883844,-0.0045389533,0.0,0.0,3.0667531,0.0,0.0,0.0
21222975,21035233,-0.07787573,0.19757728,0.030581567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31153336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053773552,0.20762476,-0.019419968,0.0,0.0,2.7717254,0.0,0.0,0.0
21725290,21537655,-0.06725888,-0.22354348,-0.027809843,-0.08401072,0.1874883,0.10688019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1002121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012692511,-0.20535198,-0.05537629,0.0,0.0,3.1408312,0.0,0.0,0.0
22218328,22030226,-0.20930752,0.33274508,-0.5108434,-0.32345378,0.2395692,0.13019943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1552887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019373536,0.14594987,0.013967872,0.0,0.0,-0.82957655,0.0,0.0,0.0
22720281,22532649,0.45959574,-0.03878577,-0.37961778,-0.30186483,0.35843876,0.09000778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27096176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029217124,-0.043367058,0.018259645,0.0,0.0,3.215669,-0.044597987,0.0,0.0
23222862,23035072,0.050979614,-0.13941473,-0.06736493,-0.024895405,0.008739061,0.14414597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41243362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13506249,-0.07441177,0.05613756,0.0,0.0,3.1473398,0.050617963,0.0,0.0
23725133,23537495,0.31745636,0.050836608,-0.13128027,-0.012755632,0.05539702,0.21065521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38127136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08822495,-0.01869604,-0.053917944,0.0,0.0,4.0382156,-0.0229526,0.0,0.0
24227637,24039919,-0.0057037175,0.08858314,-0.071786255,-0.057641,0.05287116,0.16270828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5653076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015246272,0.10780323,-0.020278811,0.0,0.0,3.5735292,-0.33301538,0.0,0.0
24720263,24532491,-0.14193666,-0.043221027,-0.03669654,-0.092591204,0.047712766,0.13938522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7157135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0132578015,-0.048997816,0.0055401325,0.0,0.0,3.8933587,-0.4953681,0.0,0.0
25222529,25034915,-0.06374505,-0.066653274,0.081244096,-0.108688824,0.05139767,0.16056061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6061554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013454258,-0.026006807,0.0017807484,0.0,0.0,3.498386,-0.4953681,0.0,0.0
25724957,25537339,0.042118005,-0.06395374,-0.055758104,-0.089298084,0.076797284,0.17350769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41193008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018576667,0.019850217,-0.006151259,0.0,0.0,4.18993,-0.4953681,0.0,0.0
26218402,26029911,0.00638848,-0.05184385,-0.0317679,-0.07249783,0.093487896,0.17990875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5079498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014386557,0.0044226497,0.0016323328,0.0,0.0,4.270566,-0.4953681,0.0,0.0
26720107,26532335,0.0459624,-0.08296235,0.010318622,-0.042470887,0.10408184,0.20017624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47117233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028703108,-0.013473105,0.002576232,0.0,0.0,4.3671865,-0.4953681,0.0,0.0
27222788,27034759,0.08885781,-0.09309237,-0.027884893,-0.02426366,0.11008874,0.216259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5616455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006090924,0.014752794,-0.0016371608,0.0,0.0,4.4655714,-0.4953681,0.0,0.0
