timestamp,flight_phase
20351780,0
21359243,0
22366707,0
23374172,0
24381638,0
25389103,0
26396569,0
27404035,0
28411503,0
29418968,0
30426435,0
31433903,0
32441371,0
33448840,0
34456309,0
35463778,0
36471248,0
37478718,0
38486188,0
39493660,0
40501129,0
41508600,0
42516072,0
43523544,0
44531016,0
45538489,0
46545961,0
47553433,0
48560906,0
49568380,0
50575853,0
51583325,0
52590796,0
53598267,0
54605737,0
55613206,0
56620675,0
57628143,0
58635613,0
59643077,0
60650543,0
61658009,0
62665473,0
63672936,0
64680399,0
65687860,0
66695320,0
67702780,0
68710239,0
69711292,0
70716127,0
71720960,0
72725794,0
73730627,0
74735459,0
75740290,0
76745120,0
77749949,0
78754777,0
79759605,0
80764432,0
81769259,0
82774086,0
83778913,0
84783740,0
85788566,0
86793391,0
87798215,0
88803039,0
89807861,0
90812683,0
91817505,0
92822326,0
93827148,0
94831967,0
95836786,0
96841603,0
97846420,0
98851237,0
99856054,0
100860868,0
101865684,0
102870498,0
103875311,0
104880124,0
105884936,0
106889747,0
107894559,0
