timestamp,mode_req_angular_velocity,mode_req_attitude,mode_req_local_alt,mode_req_local_position,mode_req_local_position_relaxed,mode_req_global_position,mode_req_global_position_relaxed,mode_req_mission,mode_req_offboard_signal,mode_req_home_position,mode_req_wind_and_flight_time_compliance,mode_req_prevent_arming,mode_req_manual_control,mode_req_other,angular_velocity_invalid,attitude_invalid,local_altitude_invalid,local_position_invalid,local_position_invalid_relaxed,local_velocity_invalid,global_position_invalid,global_position_invalid_relaxed,auto_mission_missing,offboard_control_signal_lost,home_position_invalid,manual_control_signal_lost,gcs_connection_lost,battery_warning,battery_low_remaining_time,battery_unhealthy,geofence_breached,mission_failure,vtol_fixed_wing_system_failure,wind_limit_exceeded,flight_time_limit_exceeded,position_accuracy_low,navigator_failure,fd_critical_failure,fd_esc_arming_failure,fd_imbalanced_prop,fd_motor_failure
19430073,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19980840,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20530895,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21070922,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21620851,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22170923,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22720850,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22940857,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23490931,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23930962,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24480848,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25030979,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25580828,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26130883,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26681163,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27230885,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27780921,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28330875,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28881095,8312190,8311166,8257918,3670016,4456572,0,56,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
