timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
19945417,19945303,-0.67884684,1.0,0.044488028
19947914,19947797,-0.6791342,1.0,0.04286838
19967862,19967747,-0.7056756,1.0,0.054784536
19987811,19987696,-0.7369153,1.0,0.066255175
20005263,20005152,-0.77632815,1.0,0.0544024
20025227,20025102,-0.8185487,1.0,0.03977627
20047666,20047546,-0.85666764,1.0,0.027043179
20067618,20067495,-0.8847996,1.0,0.017395267
20085078,20084951,-0.91848266,1.0,0.0064534857
20107503,20107395,-0.94056886,1.0,0.013255727
20127453,20127344,-0.95126146,1.0,0.018890575
20144909,20144801,-0.9574349,1.0,0.027501918
20164872,20164750,-0.95283836,1.0,0.0404585
20187303,20187194,-0.94237816,1.0,0.06337569
20207255,20207144,-0.93313366,1.0,0.08426072
20224712,20224600,-0.9170595,1.0,0.09980741
20247164,20247043,-0.8930004,1.0,0.12338174
20267110,20266993,-0.86677146,1.0,0.1451447
20284556,20284449,-0.8344166,1.0,0.16407573
20307003,20306892,-0.8008556,1.0,0.18682332
20326955,20326842,-0.77010304,1.0,0.20374131
20344407,20344298,-0.73925817,1.0,0.21454357
20366856,20366742,-0.70965266,1.0,0.22424193
20386800,20386691,-0.680709,1.0,0.22967593
20406756,20406641,-0.64701843,1.0,0.2288509
20424206,20424097,-0.6233036,1.0,0.21079467
20446660,20446541,-0.6000606,1.0,0.18983538
20466600,20466491,-0.57779944,1.0,0.16912866
20489043,20488934,-0.54580766,1.0,0.14398989
20506499,20506390,-0.53270245,1.0,0.128517
20526463,20526340,-0.50644815,1.0,0.10998609
20548896,20548783,-0.47437915,1.0,0.08890191
20563855,20563746,-0.45412198,1.0,0.07685682
20586300,20586189,-0.42327654,1.0,0.0600697
20606248,20606139,-0.3941133,1.0,0.04726399
20628696,20628583,-0.362962,1.0,0.034657948
20646158,20646039,-0.33944112,1.0,0.028019566
20666101,20665988,-0.310022,1.0,0.023636252
20688542,20688432,-0.28717992,1.0,0.023098815
20705997,20705888,-0.28362614,1.0,0.028845375
20725948,20725838,-0.2783414,1.0,0.03675541
20745899,20745788,-0.2719533,1.0,0.04404694
20768342,20768231,-0.28204083,1.0,0.053141706
20785798,20785687,-0.3020369,1.0,0.059117746
20805749,20805637,-0.32758826,1.0,0.06322335
20828190,20828080,-0.3747069,1.0,0.06077266
20845652,20845537,-0.40744475,1.0,0.048504457
20865599,20865486,-0.44732687,1.0,0.035014927
20885554,20885436,-0.468088,1.0,0.022170508
20907988,20907879,-0.48606,1.0,0.00012692563
20920454,20920348,-0.49389866,1.0,-0.011907808
20947887,20947779,-0.5334684,1.0,-0.03575213
20967883,20967729,-0.5533799,1.0,-0.057921696
20985289,20985185,-0.56483704,1.0,-0.071278065
21005241,21005135,-0.5832023,1.0,-0.08320844
21027685,21027578,-0.5958006,1.0,-0.09347198
21047639,21047528,-0.5943782,1.0,-0.097541936
21065092,21064984,-0.58785146,1.0,-0.09913541
21087533,21087427,-0.57298434,1.0,-0.09747518
21107496,21107377,-0.55508196,1.0,-0.09423834
21124939,21124833,-0.5386093,1.0,-0.09085249
21144888,21144783,-0.5144754,1.0,-0.08589014
