timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
107848484,63.984375,60248.94,0,20,61144,65536,0,3,1,207
108850586,168.99023,168.45724,0,21,2082,65536,0,3,1,207
109851585,208.61133,104.089005,0,21,4556,65536,0,3,1,207
110852500,250.43848,83.3384,0,21,4673,65536,0,3,1,207
111853505,292.19336,72.937416,0,21,4956,65536,0,3,1,207
112854498,336.16113,67.137215,0,21,2781,65536,0,3,1,207
113855509,380.70312,63.365116,0,21,64,65536,0,3,1,207
114856501,422.5664,60.288433,0,21,193,65536,0,3,1,207
115857498,464.5498,57.99567,0,21,64,65536,0,3,1,207
116858610,506.50195,56.208115,0,21,102,65536,0,3,1,207
117859500,546.16895,54.55101,0,22,2432,65536,0,3,1,207
118860497,588.2783,53.41635,0,22,2160,65536,0,3,1,207
119861518,632.08984,52.612347,0,22,181,65536,0,3,1,207
120862502,673.9531,51.782482,0,22,246,65536,0,3,1,207
121863516,712.22266,50.814632,0,22,3969,65536,0,3,1,207
122864503,758.09375,50.482094,0,22,170,65536,0,3,1,207
123865500,800.9922,50.005512,0,22,170,65536,0,3,1,207
124866499,840.23047,49.369923,0,22,3455,65536,0,3,1,207
125867500,885.99414,49.167053,0,22,170,65536,0,3,1,207
126868506,924.666,48.612686,0,22,4237,65536,0,3,1,207
127869989,968.3506,48.362957,0,22,2936,65536,0,3,1,207
128870553,1013.3047,48.199512,0,22,421,65536,0,3,1,207
129871553,1053.7832,47.846756,0,22,2387,65536,0,3,1,207
130872791,1096.0898,47.603577,0,22,2741,65536,0,3,1,207
131873498,1140.8838,47.485233,0,22,445,65536,0,3,1,207
132874500,1183.3076,47.281094,0,22,501,65536,0,3,1,207
133875558,1224.4697,47.044083,0,22,2186,65536,0,3,1,207
134876499,1269.3945,46.964035,0,22,468,65536,0,3,1,207
