timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
108378182,108378181,8944899,0.09637451,-0.085998535,0.1899414,nan,0
109380655,109380654,8944899,0.06329346,-0.22973633,0.21386719,nan,0
110384716,110384716,8944899,0.12042236,-0.02053833,0.15026855,nan,0
111386848,111386847,8944899,-0.08459473,0.078552246,0.25170898,nan,0
112387547,112387546,8944899,0.011291504,-0.0076904297,0.23937988,nan,0
113390718,113390718,8944899,0.08660889,-0.0032444,0.1796875,nan,0
114393683,114393683,8944899,0.10290527,-0.03137207,0.17211914,nan,0
115396422,115396421,8944899,0.11138916,0.025970459,0.14294434,nan,0
116398317,116398317,8944899,-0.008087158,0.12646484,0.18688965,nan,0
117401388,117401387,8944899,0.012710571,-0.008224487,0.23608398,nan,0
118403043,118403043,8944899,0.014129639,-0.0635376,0.25170898,nan,0
119405054,119405054,8944899,0.0022220612,-0.12646484,0.27197266,nan,0
120366582,120366581,8944899,-0.062927246,-0.08996582,0.29467773,nan,0
121367922,121367921,8944899,-0.037109375,-0.08331299,0.30151367,nan,0
122371950,122371949,8944899,-0.08770752,-0.13415527,0.3076172,nan,0
123373369,123373369,8944899,-0.2927246,0.017684937,0.28686523,nan,0
124375486,124375486,8944899,-0.12371826,-0.012130737,0.32055664,nan,0
125376006,125376006,8944899,-0.040924072,0.026138306,0.265625,nan,0
126378883,126378883,8944899,-0.035369873,-0.05960083,0.30395508,nan,0
127382598,127382598,8944899,-0.17675781,-0.14746094,0.32763672,nan,0
128385410,128385409,8944899,-0.37670898,-0.18774414,0.2824707,nan,0
129388461,129388461,8944899,-0.49926758,-0.0137786865,0.16589355,nan,0
130389154,130389154,8944899,-0.007820129,-0.052520752,0.2553711,nan,0
131393102,131393102,8944899,0.053497314,0.16235352,0.11090088,nan,0
132393889,132393889,8944899,0.09295654,0.16430664,0.05657959,nan,0
133396010,133396010,8944899,0.09490967,0.16088867,0.056396484,nan,0
134397364,134397363,8944899,0.09448242,0.15710449,0.05618286,nan,0
135398596,135398595,8944899,0.09588623,0.15612793,0.05657959,nan,0
