timestamp,uptime_sec,node_id,vendor_specific_status_code,health,mode,sub_mode
107829529,107,125,65535,0,0,0
107929776,107,125,65535,0,0,0
108031770,107,125,65535,0,0,0
108337770,108,125,65535,0,0,0
108541772,108,125,65535,0,0,0
108847769,108,125,65535,0,0,0
109051770,108,125,65535,0,0,0
109255771,109,125,65535,0,0,0
109561790,109,125,65535,0,0,0
109765785,109,125,65535,0,0,0
110071787,109,125,65535,0,0,0
110275773,110,125,65535,0,0,0
110581770,110,125,65535,0,0,0
110785810,110,125,65535,0,0,0
111091770,110,125,65535,0,0,0
111295814,111,125,65535,0,0,0
111499769,111,125,65535,0,0,0
111804049,111,125,65535,0,0,0
112006769,111,125,65535,0,0,0
112312770,112,125,65535,0,0,0
112516801,112,125,65535,0,0,0
112822790,112,125,65535,0,0,0
113025648,112,125,65535,0,0,0
113326805,113,125,65535,0,0,0
113527791,113,125,65535,0,0,0
113831986,113,125,65535,0,0,0
114034771,113,125,65535,0,0,0
114340769,114,125,65535,0,0,0
114544774,114,125,65535,0,0,0
114748784,114,125,65535,0,0,0
115054771,114,125,65535,0,0,0
115258770,115,125,65535,0,0,0
115564771,115,125,65535,0,0,0
115768985,115,125,65535,0,0,0
116074772,115,125,65535,0,0,0
116277904,116,125,65535,0,0,0
116584793,116,125,65535,0,0,0
116788768,116,125,65535,0,0,0
117094789,116,125,65535,0,0,0
117298769,117,125,65535,0,0,0
117502789,117,125,65535,0,0,0
117804236,117,125,65535,0,0,0
118006769,117,125,65535,0,0,0
118313154,118,125,65535,0,0,0
118516771,118,125,65535,0,0,0
118822241,118,125,65535,0,0,0
119023787,118,125,65535,0,0,0
119326770,119,125,65535,0,0,0
119527769,119,125,65535,0,0,0
119834035,119,125,65535,0,0,0
120037769,119,125,65535,0,0,0
120343855,120,125,65535,0,0,0
120547769,120,125,65535,0,0,0
120751796,120,125,65535,0,0,0
121057811,120,125,65535,0,0,0
121261774,121,125,65535,0,0,0
121567769,121,125,65535,0,0,0
121770324,121,125,65535,0,0,0
122071770,121,125,65535,0,0,0
122272770,122,125,65535,0,0,0
122578769,122,125,65535,0,0,0
122782791,122,125,65535,0,0,0
123088784,122,125,65535,0,0,0
123292769,123,125,65535,0,0,0
123595783,123,125,65535,0,0,0
123799801,123,125,65535,0,0,0
124004025,123,125,65535,0,0,0
124310116,124,125,65535,0,0,0
124513785,124,125,65535,0,0,0
124819770,124,125,65535,0,0,0
125023786,124,125,65535,0,0,0
125329770,125,125,65535,0,0,0
125530769,125,125,65535,0,0,0
125837104,125,125,65535,0,0,0
126040769,125,125,65535,0,0,0
126346774,126,125,65535,0,0,0
126550769,126,125,65535,0,0,0
126754773,126,125,65535,0,0,0
127059946,126,125,65535,0,0,0
127264772,127,125,65535,0,0,0
127571057,127,125,65535,0,0,0
127774953,127,125,65535,0,0,0
128080792,127,125,65535,0,0,0
128284771,128,125,65535,0,0,0
128588283,128,125,65535,0,0,0
128791769,128,125,65535,0,0,0
129097769,128,125,65535,0,0,0
129301770,129,125,65535,0,0,0
129506085,129,125,65535,0,0,0
129808770,129,125,65535,0,0,0
130012769,129,125,65535,0,0,0
130318838,130,125,65535,0,0,0
130522769,130,125,65535,0,0,0
130824529,130,125,65535,0,0,0
131024832,130,125,65535,0,0,0
131326772,131,125,65535,0,0,0
131531187,131,125,65535,0,0,0
131836771,131,125,65535,0,0,0
132040769,131,125,65535,0,0,0
132346769,132,125,65535,0,0,0
132550817,132,125,65535,0,0,0
132753969,132,125,65535,0,0,0
133060769,132,125,65535,0,0,0
133264771,133,125,65535,0,0,0
133571304,133,125,65535,0,0,0
133774815,133,125,65535,0,0,0
134080769,133,125,65535,0,0,0
134284771,134,125,65535,0,0,0
134590772,134,125,65535,0,0,0
134794994,134,125,65535,0,0,0
135097770,134,125,65535,0,0,0
135298772,135,125,65535,0,0,0
135502770,135,125,65535,0,0,0
