timestamp,timestamp_sample,time_utc_usec,device_id,position[0],position[1],position[2],position_accuracy[0],position_accuracy[1],position_accuracy[2],heading,heading_accuracy,position_length,accuracy_length,reference_station_id,gnss_fix_ok,differential_solution,relative_position_valid,carrier_solution_floating,carrier_solution_fixed,moving_base_mode,reference_position_miss,reference_observations_miss,heading_valid,relative_position_normalized
108409030,108197000,0,8748291,0.0,0.0,-0.014221191,0.0,0.0,0.0,2.8597448,0.0,0.30688477,0.0,0,0,0,0,0,0,0,0,0,0,0
109406385,109195000,0,8748291,0.0,0.0,0.031402588,0.0,0.0,0.0,3.0714617,0.0,0.3046875,0.0,0,0,0,0,0,0,0,0,0,0,0
110406828,110195000,0,8748291,0.0,0.0,-0.049346924,0.0,0.0,0.0,2.6714323,0.0,0.30786133,0.0,0,0,0,0,0,0,0,0,0,0,0
111406445,111195000,0,8748291,0.0,0.0,0.1083374,0.0,0.0,0.0,2.5044708,0.0,0.30737305,0.0,0,0,0,0,0,0,0,0,0,0,0
112406063,112195000,0,8748291,0.0,0.0,0.064575195,0.0,0.0,0.0,2.8052852,0.0,0.30737305,0.0,0,0,0,0,0,0,0,0,0,0,0
113405655,113194000,0,8748291,0.0,0.0,0.0018882751,0.0,0.0,0.0,2.8085175,0.0,0.3076172,0.0,0,0,0,0,0,0,0,0,0,0,0
114406173,114195000,0,8748291,0.0,0.0,-0.0064086914,0.0,0.0,0.0,3.0453238,0.0,0.3059082,0.0,0,0,0,0,0,0,0,0,0,0,0
115405330,115194000,0,8748291,0.0,0.0,-0.014083862,0.0,0.0,0.0,2.877917,0.0,0.30444336,0.0,0,0,0,0,0,0,0,0,0,0,0
116405634,116194000,0,8748291,0.0,0.0,0.054229736,0.0,0.0,0.0,2.5265458,0.0,0.31030273,0.0,0,0,0,0,0,0,0,0,0,0,0
117406140,117195000,0,8748291,0.0,0.0,0.06750488,0.0,0.0,0.0,2.773602,0.0,0.3071289,0.0,0,0,0,0,0,0,0,0,0,0,0
118405684,118194000,0,8748291,0.0,0.0,0.06060791,0.0,0.0,0.0,2.8302782,0.0,0.30908203,0.0,0,0,0,0,0,0,0,0,0,0,0
119405171,119194000,0,8748291,0.0,0.0,0.08239746,0.0,0.0,0.0,2.8547652,0.0,0.30786133,0.0,0,0,0,0,0,0,0,0,0,0,0
120403089,120192000,0,8748291,0.0,0.0,0.10229492,0.0,0.0,0.0,2.7961676,0.0,0.30200195,0.0,0,0,0,0,0,0,0,0,0,0,0
121402322,121191000,0,8748291,0.0,0.0,0.11376953,0.0,0.0,0.0,2.713006,0.0,0.30615234,0.0,0,0,0,0,0,0,0,0,0,0,0
122403234,122192000,0,8748291,0.0,0.0,0.16467285,0.0,0.0,0.0,2.8661866,0.0,0.30908203,0.0,0,0,0,0,0,0,0,0,0,0,0
123403476,123192000,0,8748291,0.0,0.0,0.46875,0.0,0.0,0.0,2.7826552,0.0,0.33129883,0.0,0,0,0,0,0,0,0,0,0,0,0
124413399,124202000,0,8748291,0.0,0.0,0.15246582,0.0,0.0,0.0,2.5718248,0.0,0.29589844,0.0,0,0,0,0,0,0,0,0,0,0,0
125409854,125199000,0,8748291,0.0,0.0,0.09765625,0.0,0.0,0.0,2.9103627,0.0,0.30493164,0.0,0,0,0,0,0,0,0,0,0,0,0
126406895,126196000,0,8748291,0.0,0.0,0.13012695,0.0,0.0,0.0,3.2638721,0.0,0.31030273,0.0,0,0,0,0,0,0,0,0,0,0,0
127406176,127195000,0,8748291,0.0,0.0,0.17492676,0.0,0.0,0.0,3.857827,0.0,0.31762695,0.0,0,0,0,0,0,0,0,0,0,0,0
128406489,128196000,0,8748291,0.0,0.0,0.11077881,0.0,0.0,0.0,4.7278247,0.0,0.29858398,0.0,0,0,0,0,0,0,0,0,0,0,0
129406957,129196000,0,8748291,0.0,0.0,0.058410645,0.0,0.0,0.0,5.7528477,0.0,0.3203125,0.0,0,0,0,0,0,0,0,0,0,0,0
130406609,130196000,0,8748291,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
130906428,0,0,8748291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8944445e-21,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
132409079,132198000,0,8748291,0.0,0.0,-0.2668457,0.0,0.0,0.0,1.8333218,0.0,0.30395508,0.0,0,0,0,0,0,0,0,0,0,0,0
133405927,133195000,0,8748291,0.0,0.0,-0.30444336,0.0,0.0,0.0,1.8008081,0.0,0.3154297,0.0,0,0,0,0,0,0,0,0,0,0,0
134407243,134197000,0,8748291,0.0,0.0,-0.28881836,0.0,0.0,0.0,1.8035866,0.0,0.30664062,0.0,0,0,0,0,0,0,0,0,0,0,0
135407361,135197000,0,8748291,0.0,0.0,-0.3269043,0.0,0.0,0.0,1.8137496,0.0,0.31469727,0.0,0,0,0,0,0,0,0,0,0,0,0
