timestamp,frequency_hz
107844152,0.0
107854151,0.0
107894150,0.0
107944168,0.0
107994152,0.0
108044151,0.0
108094150,0.0
108144194,0.0
108194150,0.0
108244151,0.0
108294150,0.0
108344202,0.0
108394150,0.0
108444163,0.0
108494151,0.0
108544164,0.0
108594150,0.0
108644161,0.0
108694150,0.0
108744162,0.0
108794149,0.0
108844149,0.0
108894149,0.0
108944177,0.0
108994150,0.0
109044149,0.0
109094150,0.0
109144162,0.0
109194150,0.0
109244171,0.0
109294149,0.0
109344178,0.0
109394150,0.0
109444195,0.0
109494150,0.0
109544169,0.0
109594149,0.0
109644150,0.0
109694150,0.0
109744191,0.0
109794150,0.0
109844149,0.0
109894150,0.0
109944158,0.0
109994150,0.0
110044150,0.0
110094149,0.0
110144162,0.0
110194150,0.0
110244149,0.0
110294163,0.0
110344157,0.0
110394149,0.0
110444150,0.0
110494168,0.0
110544248,0.0
110594149,0.0
110644150,0.0
110694149,0.0
110744157,0.0
110794163,0.0
110844149,0.0
110894151,0.0
110944188,0.0
110994177,0.0
111044149,0.0
111094149,0.0
111144181,0.0
111194149,0.0
111244150,0.0
111294197,0.0
111344193,0.0
111394150,0.0
111444149,0.0
111494194,0.0
111544170,0.0
111594150,0.0
111644151,0.0
111694149,0.0
111744164,0.0
111794150,0.0
111844150,0.0
111894149,0.0
111944200,0.0
111994150,0.0
112044150,0.0
112094150,0.0
112144173,0.0
112194149,0.0
112244151,0.0
112294151,0.0
112344174,0.0
112394169,0.0
112444150,0.0
112494150,0.0
112544181,0.0
112594149,0.0
112644149,0.0
112694151,0.0
112744172,0.0
112794149,0.0
112844156,0.0
112894149,0.0
112944179,0.0
112994150,0.0
113044150,0.0
113094150,0.0
113144188,0.0
113194150,0.0
113244149,0.0
113294150,0.0
113344158,0.0
113394150,0.0
113444150,0.0
113494150,0.0
113544165,0.0
113594153,0.0
113644160,0.0
113694151,0.0
113744179,0.0
113794154,0.0
113844150,0.0
113894150,0.0
113944178,0.0
113994163,0.0
114044150,0.0
114094154,0.0
114144174,0.0
114194150,0.0
114244150,0.0
114294150,0.0
114344162,0.0
114394149,0.0
114444150,0.0
114494150,0.0
114544162,0.0
114594149,0.0
114644151,0.0
114694149,0.0
114744164,0.0
114794150,0.0
114844150,0.0
114894150,0.0
114944161,0.0
114994151,0.0
115044150,0.0
115094151,0.0
115144187,0.0
115194150,0.0
115244150,0.0
115294157,0.0
115344162,0.0
115394150,0.0
115444150,0.0
115494180,0.0
115544155,0.0
115594150,0.0
115644150,0.0
115694195,0.0
115744181,0.0
115794150,0.0
115844150,0.0
115894149,0.0
115944180,0.0
115994149,0.0
116044150,0.0
116094149,0.0
116144163,0.0
116194150,0.0
116244149,0.0
116294149,0.0
116344156,0.0
116394150,0.0
116444150,0.0
116494149,0.0
116544161,0.0
116594150,0.0
116644153,0.0
116694151,0.0
116744191,0.0
116794149,0.0
116844160,0.0
116894149,0.0
116944172,0.0
116994149,0.0
117044149,0.0
117094149,0.0
117144168,0.0
117194150,0.0
117244150,0.0
117294149,0.0
117344166,0.0
117394150,0.0
117444150,0.0
117494149,0.0
117544198,0.0
117594149,0.0
117644150,0.0
117694149,0.0
117744211,0.0
117794155,0.0
117844150,0.0
117894150,0.0
117944162,0.0
117994150,0.0
118044151,0.0
118094150,0.0
118144180,0.0
118194150,0.0
118244150,0.2176898
118294149,0.38371414
118344193,0.48774335
118394150,0.5710276
118444149,0.6324053
118494150,0.6260698
118544182,0.6100979
118594165,0.6277999
118644150,0.68476963
118694151,0.77469534
118744183,0.9172259
118794149,1.1324944
118844221,1.3423424
118894149,1.5347843
118944163,1.4986051
118994150,1.2635479
119044150,1.1293128
119094150,1.1557568
119144157,1.238699
119194149,1.4285588
119244149,1.6593928
119294149,1.7770776
119344231,1.5892845
119394150,1.4210409
119444149,1.4432111
119494149,1.5764998
119544174,1.8620895
119594149,2.1308901
119644150,1.9732822
119694164,1.5766776
119744206,1.5209277
119794150,1.6498145
119844150,1.9599832
119894174,2.2487214
119944162,2.0554707
119994150,1.6976758
120044165,1.6967285
120094149,1.9840256
120144163,2.375938
120194149,2.4145522
120244149,1.9799607
120294159,1.8682101
120344163,2.016532
120394150,2.3914235
120444149,2.501798
120494149,2.128581
120544156,2.0950427
120594149,2.384239
120644149,2.7229605
120694151,2.4132254
120744163,2.1517208
120794149,2.2744517
120844150,2.6740794
120894149,2.7756503
120944162,2.382645
120994149,2.3754766
121044149,2.7411575
121094149,2.922035
121144156,2.4911554
121194150,2.4791894
121244149,2.8673544
121294150,3.0297968
121344179,2.6200192
121394150,2.6771781
121444150,3.0582547
121494179,2.9398508
121544161,2.5970674
121594150,2.74366
121644150,3.1677642
121694150,2.9744697
121744189,2.8006136
121794149,3.1258
121844150,3.2523546
121894149,2.830552
121944156,2.923639
121994151,3.2772834
122044150,2.9501224
122094151,2.7716131
122144164,3.0946126
122194150,3.294634
122244150,2.877956
122294150,2.975311
122344162,3.3685672
122394150,3.067832
122444150,2.8790588
122494150,3.2406275
122544181,3.287996
122594149,2.8895392
122644149,3.0211983
122694150,3.4174395
122744182,3.1282208
122794174,3.0664074
