timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
385753243,-0.6340412,0.55808675,0.28488895,0.014423043,0.0,0.0,1
385757888,-0.63393706,0.56459165,0.28511634,0.014423043,0.0,0.0,1
385772921,-0.6352999,0.581612,0.28730705,0.014423043,0.0,0.0,1
385797359,-0.6472076,0.6017401,0.29544142,0.014423043,0.0,0.0,1
385817035,-0.634805,0.6069769,0.2877025,0.014423043,0.0,0.0,1
385832061,-0.62202156,0.6052964,0.2746001,0.014423043,0.0,0.0,1
385856423,-0.60707784,0.59776145,0.25925004,0.014423043,0.0,0.0,1
385876121,-0.6019073,0.58882844,0.25366235,0.014423043,0.0,0.0,1
385891139,-0.5996829,0.5804581,0.25110328,0.014423043,0.0,0.0,1
385915547,-0.602128,0.56377095,0.25298446,0.014423043,0.0,0.0,1
385935218,-0.6040567,0.5478249,0.25419533,0.014423043,0.0,0.0,1
385954961,-0.60513484,0.52940357,0.24965769,0.014423043,0.0,0.0,1
385974714,-0.60236704,0.51062924,0.24614331,0.014423043,0.0,0.0,1
385994520,-0.59645426,0.4928497,0.24419652,0.014423043,0.0,0.0,1
386014180,-0.5933463,0.47711194,0.24038231,0.014423043,0.0,0.0,1
386033785,-0.5885997,0.4631704,0.23501338,0.014423043,0.0,0.0,1
386053493,-0.5863192,0.45259032,0.22754207,0.014423043,0.0,0.0,1
386073171,-0.5727765,0.44501588,0.21845222,0.014423043,0.0,0.0,1
386098056,-0.5601518,0.4397752,0.20567633,0.014423043,0.0,0.0,1
386112574,-0.5565846,0.43840578,0.1973581,0.014423043,0.0,0.0,1
386137482,-0.53774345,0.4392519,0.18335584,0.014423043,0.0,0.0,1
386157166,-0.5319502,0.44117337,0.17295866,0.014423043,0.0,0.0,1
386171679,-0.5250652,0.44358748,0.16620652,0.014423043,0.0,0.0,1
386196676,-0.5123778,0.44913092,0.15850492,0.014423043,0.0,0.0,1
386216509,-0.5129089,0.4547117,0.15449482,0.014423043,0.0,0.0,1
386236036,-0.50415725,0.460665,0.15061831,0.014423043,0.0,0.0,1
386255710,-0.49996585,0.46665215,0.14658163,0.014423043,0.0,0.0,1
386275573,-0.5020658,0.4729607,0.14412537,0.014423043,0.0,0.0,1
386295091,-0.4953966,0.48000786,0.14235978,0.014423043,0.0,0.0,1
386314848,-0.49177524,0.48785847,0.13885474,0.014423043,0.0,0.0,1
386334512,-0.48654646,0.49599022,0.13374023,0.014423043,0.0,0.0,1
386354189,-0.48041055,0.5044779,0.12769702,0.014423043,0.0,0.0,1
386378837,-0.46977428,0.5149797,0.11707614,0.014423043,0.0,0.0,1
386393719,-0.46183008,0.5205,0.10908086,0.014423043,0.0,0.0,1
386413489,-0.45023552,0.52624214,0.09737061,0.014423043,0.0,0.0,1
386437683,-0.4367189,0.53115034,0.08367529,0.014423043,0.0,0.0,1
386452751,-0.42837372,0.53273857,0.07517217,0.014423043,0.0,0.0,1
386472653,-0.4167129,0.53400135,0.06326945,0.014423043,0.0,0.0,1
386496797,-0.40661848,0.53457546,0.048112772,0.014423043,0.0,0.0,1
386516552,-0.38955534,0.53520423,0.035509523,0.014423043,0.0,0.0,1
386531581,-0.3817403,0.5362151,0.02756185,0.014423043,0.0,0.0,1
386555966,-0.3742752,0.5391031,0.020005282,0.014423043,0.0,0.0,1
386575637,-0.37293467,0.54275185,0.013761604,0.014423043,0.0,0.0,1
386595360,-0.365062,0.5468522,0.005692202,0.014423043,0.0,0.0,1
386615072,-0.35265216,0.5507664,-0.0021754056,0.014423043,0.0,0.0,1
386634721,-0.3477448,0.5549811,-0.0121159125,0.014423043,0.0,0.0,1
386654420,-0.33215132,0.55960613,-0.023271581,0.014423043,0.0,0.0,1
386674131,-0.328998,0.56455874,-0.031355236,0.014423043,0.0,0.0,1
386693884,-0.31768993,0.5700312,-0.03814191,0.014423043,0.0,0.0,1
386713524,-0.312025,0.57605624,-0.04399366,0.014423043,0.0,0.0,1
386733162,-0.3091172,0.5831278,-0.0470083,0.014423043,0.0,0.0,1
386752961,-0.3131877,0.5913935,-0.047744744,0.014423043,0.0,0.0,1
386778078,-0.3134384,0.6039307,-0.047577012,0.014423043,0.0,0.0,1
386797784,-0.31606597,0.6145789,-0.044928495,0.014423043,0.0,0.0,1
386812183,-0.3146145,0.6228539,-0.041587573,0.014423043,0.0,0.0,1
386836986,-0.32491592,0.6359962,-0.035898373,0.014423043,0.0,0.0,1
386856639,-0.3257369,0.6454255,-0.030178607,0.014423043,0.0,0.0,1
386871163,-0.3353299,0.6519395,-0.025151981,0.014423043,0.0,0.0,1
386896064,-0.33931544,0.66193926,-0.016109716,0.014423043,0.0,0.0,1
386915760,-0.35381,0.6689287,-0.005945051,0.014423043,0.0,0.0,1
386935476,-0.3662437,0.6750953,0.007028657,0.014423043,0.0,0.0,1
386955200,-0.3794353,0.6799745,0.020818394,0.014423043,0.0,0.0,1
386975137,-0.38918278,0.68354094,0.035964236,0.014423043,0.0,0.0,1
386994598,-0.40912497,0.68577707,0.051887043,0.014423043,0.0,0.0,1
387014311,-0.41931427,0.68697786,0.067503944,0.014423043,0.0,0.0,1
387034002,-0.43916124,0.6876119,0.08331756,0.014423043,0.0,0.0,1
387053705,-0.44983652,0.6881828,0.0994268,0.014423043,0.0,0.0,1
387078075,-0.4684752,0.68861246,0.11890391,0.014423043,0.0,0.0,1
387093138,-0.4843095,0.68872106,0.13049588,0.014423043,0.0,0.0,1
387112882,-0.49756786,0.68861336,0.14432666,0.014423043,0.0,0.0,1
387137216,-0.51165575,0.68730795,0.15898418,0.014423043,0.0,0.0,1
387152227,-0.51908237,0.6855004,0.16667858,0.014423043,0.0,0.0,1
387176744,-0.52396405,0.68051714,0.17656605,0.014423043,0.0,0.0,1
387196723,-0.5295854,0.6746634,0.18226416,0.014423043,0.0,0.0,1
387216052,-0.5348868,0.6674909,0.187583,0.014423043,0.0,0.0,1
387235702,-0.54039204,0.65968657,0.19308092,0.014423043,0.0,0.0,1
387255438,-0.54663074,0.6519155,0.19932055,0.014423043,0.0,0.0,1
387275103,-0.5584022,0.64501727,0.20639038,0.014423043,0.0,0.0,1
387294811,-0.5662293,0.63935584,0.21428494,0.014423043,0.0,0.0,1
387314511,-0.56985706,0.6351933,0.22274873,0.014423043,0.0,0.0,1
387334213,-0.57724345,0.6322078,0.23022155,0.014423043,0.0,0.0,1
387353931,-0.5832319,0.6302321,0.23628423,0.014423043,0.0,0.0,1
387373638,-0.58684886,0.62825024,0.23989688,0.014423043,0.0,0.0,1
387393353,-0.5931061,0.62580633,0.24135517,0.014423043,0.0,0.0,1
387418268,-0.58931124,0.62163335,0.24215873,0.014423043,0.0,0.0,1
387432740,-0.5897409,0.61879563,0.24249448,0.014423043,0.0,0.0,1
387452440,-0.59564555,0.6144759,0.24354307,0.014423043,0.0,0.0,1
387477536,-0.592939,0.6081793,0.24537528,0.014423043,0.0,0.0,1
387497027,-0.594365,0.60250163,0.24660997,0.014423043,0.0,0.0,1
387511549,-0.5954839,0.59795624,0.24757835,0.014423043,0.0,0.0,1
387536491,-0.6023355,0.5905036,0.24945506,0.014423043,0.0,0.0,1
387556143,-0.60042095,0.5852487,0.25086716,0.014423043,0.0,0.0,1
387576253,-0.60467774,0.5808607,0.25502828,0.014423043,0.0,0.0,1
387595878,-0.6098771,0.5778634,0.26018664,0.014423043,0.0,0.0,1
387615546,-0.6161114,0.5760029,0.26643094,0.014423043,0.0,0.0,1
387635341,-0.62198603,0.57499415,0.27356535,0.014423043,0.0,0.0,1
387654703,-0.6265835,0.5744691,0.27816892,0.014423043,0.0,0.0,1
387674386,-0.6304924,0.57430154,0.28082573,0.018028826,0.0,0.0,1
387694129,-0.6333224,0.5744463,0.2849363,0.021634579,0.0,0.0,1
387713826,-0.6359441,0.57537794,0.28636843,0.030048043,0.0,0.0,1
387733532,-0.6410139,0.57714516,0.2916065,0.030048043,0.0,0.0,1
387753172,-0.6485347,0.5794821,0.29933074,0.030048043,0.0,0.0,1
387777557,-0.6573055,0.5825931,0.30824858,0.043269217,0.0,0.0,1
387792622,-0.6606346,0.5839214,0.31160316,0.043269217,0.0,0.0,1
