timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
257882677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
263661679,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
270822583,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
286080260,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
305876383,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
356340431,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
365281219,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
375910936,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
390931392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
410425179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
441397695,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
